[INFO] [1726746017.248688, 0.000000]: Start power_monitor
[INFO] [1726746018.870247, 1710419137.347122]: timestamp 1726746018.00 VDD_IN 5201mW/5201mW VDD_CPU_GPU_CV 1187mW/1187mW VDD_SOC 1104mW/1104mW
[INFO] [1726746019.880383, 1710419138.362169]: timestamp 1726746019.00 VDD_IN 5283mW/5242mW VDD_CPU_GPU_CV 1228mW/1207mW VDD_SOC 1145mW/1124mW
[INFO] [1726746020.886334, 1710419139.296757]: timestamp 1726746020.00 VDD_IN 6184mW/5556mW VDD_CPU_GPU_CV 2088mW/1501mW VDD_SOC 1145mW/1131mW
[INFO] [1726746021.900646, 1710419140.374840]: timestamp 1726746021.00 VDD_IN 6103mW/5692mW VDD_CPU_GPU_CV 2007mW/1627mW VDD_SOC 1145mW/1134mW
[INFO] [1726746022.917917, 1710419141.399729]: timestamp 1726746022.00 VDD_IN 5857mW/5725mW VDD_CPU_GPU_CV 1720mW/1646mW VDD_SOC 1145mW/1136mW
[INFO] [1726746023.949985, 1710419142.429733]: timestamp 1726746023.00 VDD_IN 5898mW/5754mW VDD_CPU_GPU_CV 1802mW/1672mW VDD_SOC 1145mW/1138mW
[INFO] [1726746025.041904, 1710419143.516052]: timestamp 1726746025.00 VDD_IN 6676mW/5886mW VDD_CPU_GPU_CV 2580mW/1801mW VDD_SOC 1145mW/1139mW
[INFO] [1726746026.069933, 1710419144.548321]: timestamp 1726746026.00 VDD_IN 6758mW/5995mW VDD_CPU_GPU_CV 2744mW/1919mW VDD_SOC 1145mW/1139mW
[INFO] [1726746027.089817, 1710419145.562717]: timestamp 1726746027.00 VDD_IN 5160mW/5902mW VDD_CPU_GPU_CV 1146mW/1833mW VDD_SOC 1104mW/1135mW
[INFO] [1726746028.116599, 1710419146.595964]: timestamp 1726746028.00 VDD_IN 4915mW/5803mW VDD_CPU_GPU_CV 901mW/1740mW VDD_SOC 1104mW/1132mW
[INFO] [1726746029.136629, 1710419147.618972]: timestamp 1726746029.00 VDD_IN 4669mW/5700mW VDD_CPU_GPU_CV 696mW/1645mW VDD_SOC 1104mW/1130mW
[INFO] [1726746030.162146, 1710419123.771757]: timestamp 1726746030.00 VDD_IN 5038mW/5645mW VDD_CPU_GPU_CV 983mW/1590mW VDD_SOC 1104mW/1127mW
[INFO] [1726746031.177438, 1710419124.789647]: timestamp 1726746031.00 VDD_IN 5283mW/5617mW VDD_CPU_GPU_CV 1187mW/1559mW VDD_SOC 1145mW/1129mW
[INFO] [1726746032.195668, 1710419125.802640]: timestamp 1726746032.00 VDD_IN 5201mW/5587mW VDD_CPU_GPU_CV 1146mW/1529mW VDD_SOC 1145mW/1130mW
[INFO] [1726746033.218121, 1710419126.166483]: timestamp 1726746033.00 VDD_IN 5775mW/5600mW VDD_CPU_GPU_CV 1597mW/1534mW VDD_SOC 1145mW/1131mW
[INFO] [1726746034.234740, 1710419126.166483]: timestamp 1726746034.00 VDD_IN 5283mW/5580mW VDD_CPU_GPU_CV 1187mW/1512mW VDD_SOC 1145mW/1132mW
[INFO] [1726746035.254024, 1710419126.166483]: timestamp 1726746035.00 VDD_IN 5160mW/5555mW VDD_CPU_GPU_CV 1105mW/1488mW VDD_SOC 1104mW/1130mW
[INFO] [1726746036.272134, 1710419126.166483]: timestamp 1726746036.00 VDD_IN 5160mW/5533mW VDD_CPU_GPU_CV 1064mW/1464mW VDD_SOC 1145mW/1131mW
[INFO] [1726746037.288921, 1710419126.166483]: timestamp 1726746037.00 VDD_IN 4915mW/5501mW VDD_CPU_GPU_CV 901mW/1435mW VDD_SOC 1104mW/1129mW
[INFO] [1726746038.304347, 1710419126.166483]: timestamp 1726746038.00 VDD_IN 5160mW/5483mW VDD_CPU_GPU_CV 1146mW/1420mW VDD_SOC 1104mW/1128mW
[INFO] [1726746039.321856, 1710419126.166483]: timestamp 1726746039.00 VDD_IN 4833mW/5452mW VDD_CPU_GPU_CV 860mW/1394mW VDD_SOC 1104mW/1127mW
[INFO] [1726746040.336280, 1710419126.166483]: timestamp 1726746040.00 VDD_IN 4833mW/5424mW VDD_CPU_GPU_CV 819mW/1367mW VDD_SOC 1104mW/1126mW
[INFO] [1726746041.409207, 1710419126.166483]: timestamp 1726746041.00 VDD_IN 4997mW/5406mW VDD_CPU_GPU_CV 983mW/1351mW VDD_SOC 1104mW/1125mW
