[INFO] [1726746843.244319, 0.000000]: Start power_monitor
[INFO] [1726746844.376565, 1710419130.478196]: timestamp 1726746844.00 VDD_IN 5365mW/5365mW VDD_CPU_GPU_CV 1351mW/1351mW VDD_SOC 1145mW/1145mW
[INFO] [1726746845.389870, 1710419131.493245]: timestamp 1726746845.00 VDD_IN 4915mW/5140mW VDD_CPU_GPU_CV 942mW/1146mW VDD_SOC 1145mW/1145mW
[INFO] [1726746846.399689, 1710419132.498095]: timestamp 1726746846.00 VDD_IN 6594mW/5624mW VDD_CPU_GPU_CV 2580mW/1624mW VDD_SOC 1145mW/1145mW
[INFO] [1726746847.412770, 1710419133.516171]: timestamp 1726746847.00 VDD_IN 6389mW/5815mW VDD_CPU_GPU_CV 2334mW/1801mW VDD_SOC 1145mW/1145mW
[INFO] [1726746848.433919, 1710419134.540430]: timestamp 1726746848.00 VDD_IN 5693mW/5791mW VDD_CPU_GPU_CV 1597mW/1760mW VDD_SOC 1145mW/1145mW
[INFO] [1726746849.453212, 1710419135.552927]: timestamp 1726746849.00 VDD_IN 4710mW/5611mW VDD_CPU_GPU_CV 778mW/1597mW VDD_SOC 1104mW/1138mW
[INFO] [1726746850.470378, 1710419136.577003]: timestamp 1726746850.00 VDD_IN 6635mW/5757mW VDD_CPU_GPU_CV 2662mW/1749mW VDD_SOC 1146mW/1139mW
[INFO] [1726746851.492527, 1710419137.592236]: timestamp 1726746851.00 VDD_IN 5488mW/5723mW VDD_CPU_GPU_CV 1515mW/1719mW VDD_SOC 1145mW/1140mW
[INFO] [1726746852.510895, 1710419138.615805]: timestamp 1726746852.00 VDD_IN 4874mW/5629mW VDD_CPU_GPU_CV 901mW/1628mW VDD_SOC 1145mW/1140mW
[INFO] [1726746853.529756, 1710419139.637066]: timestamp 1726746853.00 VDD_IN 4669mW/5533mW VDD_CPU_GPU_CV 696mW/1535mW VDD_SOC 1104mW/1136mW
[INFO] [1726746854.548999, 1710419140.648182]: timestamp 1726746854.00 VDD_IN 4546mW/5443mW VDD_CPU_GPU_CV 614mW/1451mW VDD_SOC 1104mW/1133mW
[INFO] [1726746855.572898, 1710419141.680946]: timestamp 1726746855.00 VDD_IN 4669mW/5378mW VDD_CPU_GPU_CV 696mW/1388mW VDD_SOC 1104mW/1131mW
[INFO] [1726746856.596020, 1710419142.695832]: timestamp 1726746856.00 VDD_IN 5038mW/5352mW VDD_CPU_GPU_CV 983mW/1357mW VDD_SOC 1145mW/1132mW
[INFO] [1726746857.623568, 1710419143.204166]: timestamp 1726746857.00 VDD_IN 5611mW/5371mW VDD_CPU_GPU_CV 1515mW/1368mW VDD_SOC 1185mW/1136mW
[INFO] [1726746858.651002, 1710419143.204166]: timestamp 1726746858.00 VDD_IN 5079mW/5351mW VDD_CPU_GPU_CV 1064mW/1348mW VDD_SOC 1145mW/1136mW
[INFO] [1726746859.666993, 1710419143.204166]: timestamp 1726746859.00 VDD_IN 4997mW/5329mW VDD_CPU_GPU_CV 983mW/1325mW VDD_SOC 1145mW/1137mW
[INFO] [1726746860.681708, 1710419143.204166]: timestamp 1726746860.00 VDD_IN 4874mW/5302mW VDD_CPU_GPU_CV 860mW/1298mW VDD_SOC 1145mW/1137mW
[INFO] [1726746861.704957, 1710419143.204166]: timestamp 1726746861.00 VDD_IN 4874mW/5278mW VDD_CPU_GPU_CV 860mW/1273mW VDD_SOC 1145mW/1138mW
[INFO] [1726746862.723167, 1710419143.204166]: timestamp 1726746862.00 VDD_IN 4792mW/5253mW VDD_CPU_GPU_CV 819mW/1250mW VDD_SOC 1145mW/1138mW
[INFO] [1726746863.742311, 1710419143.204166]: timestamp 1726746863.00 VDD_IN 4751mW/5228mW VDD_CPU_GPU_CV 819mW/1228mW VDD_SOC 1104mW/1136mW
[INFO] [1726746864.759211, 1710419143.204166]: timestamp 1726746864.00 VDD_IN 4710mW/5203mW VDD_CPU_GPU_CV 778mW/1207mW VDD_SOC 1104mW/1135mW
[INFO] [1726746865.776462, 1710419143.204166]: timestamp 1726746865.00 VDD_IN 5120mW/5199mW VDD_CPU_GPU_CV 1105mW/1202mW VDD_SOC 1145mW/1135mW
[INFO] [1726746866.803307, 1710419143.204166]: timestamp 1726746866.00 VDD_IN 4792mW/5181mW VDD_CPU_GPU_CV 819mW/1185mW VDD_SOC 1145mW/1136mW
[INFO] [1726746867.870231, 1710419143.204166]: timestamp 1726746867.00 VDD_IN 4751mW/5164mW VDD_CPU_GPU_CV 778mW/1168mW VDD_SOC 1104mW/1134mW
[INFO] [1726746868.876694, 1710419143.204166]: timestamp 1726746868.00 VDD_IN 4710mW/5145mW VDD_CPU_GPU_CV 737mW/1151mW VDD_SOC 1145mW/1135mW
[INFO] [1726746869.884207, 1710419143.204166]: timestamp 1726746869.00 VDD_IN 4710mW/5129mW VDD_CPU_GPU_CV 778mW/1137mW VDD_SOC 1145mW/1135mW
[INFO] [1726746870.891118, 1710419143.204166]: timestamp 1726746870.00 VDD_IN 4751mW/5115mW VDD_CPU_GPU_CV 778mW/1123mW VDD_SOC 1145mW/1135mW
[INFO] [1726746871.898672, 1710419143.204166]: timestamp 1726746871.00 VDD_IN 4710mW/5100mW VDD_CPU_GPU_CV 737mW/1109mW VDD_SOC 1145mW/1136mW
[INFO] [1726746872.960543, 1710419143.204166]: timestamp 1726746872.00 VDD_IN 4710mW/5087mW VDD_CPU_GPU_CV 737mW/1097mW VDD_SOC 1145mW/1136mW
[INFO] [1726746873.970658, 1710419143.204166]: timestamp 1726746873.00 VDD_IN 4751mW/5075mW VDD_CPU_GPU_CV 778mW/1086mW VDD_SOC 1145mW/1136mW
[INFO] [1726746874.980012, 1710419143.204166]: timestamp 1726746874.00 VDD_IN 4751mW/5065mW VDD_CPU_GPU_CV 778mW/1076mW VDD_SOC 1145mW/1137mW
[INFO] [1726746875.987750, 1710419143.204166]: timestamp 1726746875.00 VDD_IN 4546mW/5049mW VDD_CPU_GPU_CV 614mW/1062mW VDD_SOC 1104mW/1136mW
[INFO] [1726746876.994925, 1710419143.204166]: timestamp 1726746876.00 VDD_IN 4546mW/5033mW VDD_CPU_GPU_CV 614mW/1048mW VDD_SOC 1104mW/1135mW
[INFO] [1726746878.109501, 1710419143.204166]: timestamp 1726746877.00 VDD_IN 4587mW/5020mW VDD_CPU_GPU_CV 655mW/1036mW VDD_SOC 1104mW/1134mW
[INFO] [1726746879.117157, 1710419143.204166]: timestamp 1726746879.00 VDD_IN 4505mW/5006mW VDD_CPU_GPU_CV 573mW/1023mW VDD_SOC 1104mW/1133mW
[INFO] [1726746880.124355, 1710419143.204166]: timestamp 1726746880.00 VDD_IN 4628mW/4995mW VDD_CPU_GPU_CV 655mW/1013mW VDD_SOC 1104mW/1132mW
[INFO] [1726746881.132047, 1710419143.204166]: timestamp 1726746881.00 VDD_IN 4587mW/4984mW VDD_CPU_GPU_CV 655mW/1003mW VDD_SOC 1104mW/1131mW
[INFO] [1726746882.139328, 1710419143.204166]: timestamp 1726746882.00 VDD_IN 4628mW/4975mW VDD_CPU_GPU_CV 655mW/994mW VDD_SOC 1104mW/1130mW
[INFO] [1726746883.192662, 1710419143.204166]: timestamp 1726746883.00 VDD_IN 4669mW/4967mW VDD_CPU_GPU_CV 696mW/986mW VDD_SOC 1145mW/1131mW
[INFO] [1726746884.200469, 1710419143.204166]: timestamp 1726746884.00 VDD_IN 4956mW/4967mW VDD_CPU_GPU_CV 942mW/985mW VDD_SOC 1145mW/1131mW
[INFO] [1726746885.209769, 1710419143.204166]: timestamp 1726746885.00 VDD_IN 4710mW/4960mW VDD_CPU_GPU_CV 737mW/979mW VDD_SOC 1145mW/1132mW
