[INFO] [1726745162.651653, 0.000000]: Start power_monitor
[INFO] [1726745163.982211, 1710419133.433069]: timestamp 1726745163.00 VDD_IN 5529mW/5529mW VDD_CPU_GPU_CV 1474mW/1474mW VDD_SOC 1145mW/1145mW
[INFO] [1726745164.990411, 1710419134.438190]: timestamp 1726745164.00 VDD_IN 5038mW/5283mW VDD_CPU_GPU_CV 1024mW/1249mW VDD_SOC 1145mW/1145mW
[INFO] [1726745165.997475, 1710419135.439406]: timestamp 1726745165.00 VDD_IN 6635mW/5734mW VDD_CPU_GPU_CV 2580mW/1692mW VDD_SOC 1146mW/1145mW
[INFO] [1726745167.004295, 1710419136.455748]: timestamp 1726745166.00 VDD_IN 6933mW/6033mW VDD_CPU_GPU_CV 2867mW/1986mW VDD_SOC 1146mW/1145mW
[INFO] [1726745168.035414, 1710419137.491399]: timestamp 1726745167.00 VDD_IN 5529mW/5932mW VDD_CPU_GPU_CV 1474mW/1883mW VDD_SOC 1145mW/1145mW
[INFO] [1726745169.044284, 1710419138.498857]: timestamp 1726745168.00 VDD_IN 4956mW/5770mW VDD_CPU_GPU_CV 983mW/1733mW VDD_SOC 1145mW/1145mW
[INFO] [1726745170.051008, 1710419139.505359]: timestamp 1726745169.00 VDD_IN 6430mW/5864mW VDD_CPU_GPU_CV 2457mW/1837mW VDD_SOC 1145mW/1145mW
[INFO] [1726745171.056919, 1710419140.512800]: timestamp 1726745170.00 VDD_IN 5775mW/5853mW VDD_CPU_GPU_CV 1802mW/1832mW VDD_SOC 1145mW/1145mW
[INFO] [1726745172.063885, 1710419141.516263]: timestamp 1726745171.00 VDD_IN 5160mW/5776mW VDD_CPU_GPU_CV 1146mW/1756mW VDD_SOC 1145mW/1145mW
[INFO] [1726745173.070062, 1710419142.521294]: timestamp 1726745172.00 VDD_IN 4710mW/5669mW VDD_CPU_GPU_CV 737mW/1654mW VDD_SOC 1104mW/1141mW
[INFO] [1726745174.078448, 1710419143.532556]: timestamp 1726745173.00 VDD_IN 4669mW/5578mW VDD_CPU_GPU_CV 737mW/1571mW VDD_SOC 1104mW/1137mW
[INFO] [1726745175.086005, 1710419144.533550]: timestamp 1726745175.00 VDD_IN 4587mW/5495mW VDD_CPU_GPU_CV 655mW/1494mW VDD_SOC 1104mW/1134mW
[INFO] [1726745176.094548, 1710419145.542109]: timestamp 1726745176.00 VDD_IN 5120mW/5467mW VDD_CPU_GPU_CV 1105mW/1464mW VDD_SOC 1145mW/1135mW
[INFO] [1726745177.102044, 1710419146.253210]: timestamp 1726745177.00 VDD_IN 5406mW/5462mW VDD_CPU_GPU_CV 1351mW/1456mW VDD_SOC 1145mW/1136mW
[INFO] [1726745178.111402, 1710419146.253210]: timestamp 1726745178.00 VDD_IN 5488mW/5464mW VDD_CPU_GPU_CV 1433mW/1455mW VDD_SOC 1145mW/1136mW
[INFO] [1726745179.122929, 1710419146.253210]: timestamp 1726745179.00 VDD_IN 6062mW/5501mW VDD_CPU_GPU_CV 1925mW/1484mW VDD_SOC 1185mW/1139mW
[INFO] [1726745180.138976, 1710419146.253210]: timestamp 1726745180.00 VDD_IN 5201mW/5484mW VDD_CPU_GPU_CV 1146mW/1464mW VDD_SOC 1145mW/1140mW
[INFO] [1726745181.146414, 1710419146.253210]: timestamp 1726745181.00 VDD_IN 5201mW/5468mW VDD_CPU_GPU_CV 1146mW/1446mW VDD_SOC 1145mW/1140mW
[INFO] [1726745182.154169, 1710419146.253210]: timestamp 1726745182.00 VDD_IN 5120mW/5449mW VDD_CPU_GPU_CV 1064mW/1426mW VDD_SOC 1145mW/1140mW
[INFO] [1726745183.168326, 1710419146.253210]: timestamp 1726745183.00 VDD_IN 4751mW/5415mW VDD_CPU_GPU_CV 778mW/1394mW VDD_SOC 1104mW/1138mW
[INFO] [1726745184.186864, 1710419146.253210]: timestamp 1726745184.00 VDD_IN 4874mW/5389mW VDD_CPU_GPU_CV 860mW/1368mW VDD_SOC 1145mW/1139mW
[INFO] [1726745185.204748, 1710419146.253210]: timestamp 1726745185.00 VDD_IN 4710mW/5358mW VDD_CPU_GPU_CV 778mW/1341mW VDD_SOC 1104mW/1137mW
[INFO] [1726745186.222926, 1710419146.253210]: timestamp 1726745186.00 VDD_IN 4751mW/5331mW VDD_CPU_GPU_CV 778mW/1317mW VDD_SOC 1104mW/1136mW
[INFO] [1726745187.241652, 1710419146.253210]: timestamp 1726745187.00 VDD_IN 4956mW/5316mW VDD_CPU_GPU_CV 942mW/1301mW VDD_SOC 1104mW/1134mW
[INFO] [1726745188.259281, 1710419146.253210]: timestamp 1726745188.00 VDD_IN 4710mW/5292mW VDD_CPU_GPU_CV 778mW/1280mW VDD_SOC 1104mW/1133mW
[INFO] [1726745189.277047, 1710419146.253210]: timestamp 1726745189.00 VDD_IN 4915mW/5277mW VDD_CPU_GPU_CV 942mW/1267mW VDD_SOC 1145mW/1134mW
[INFO] [1726745190.295150, 1710419146.253210]: timestamp 1726745190.00 VDD_IN 4792mW/5259mW VDD_CPU_GPU_CV 819mW/1251mW VDD_SOC 1145mW/1134mW
[INFO] [1726745191.315629, 1710419146.253210]: timestamp 1726745191.00 VDD_IN 4833mW/5244mW VDD_CPU_GPU_CV 819mW/1235mW VDD_SOC 1145mW/1134mW
[INFO] [1726745192.333941, 1710419146.253210]: timestamp 1726745192.00 VDD_IN 4792mW/5228mW VDD_CPU_GPU_CV 819mW/1221mW VDD_SOC 1145mW/1135mW
[INFO] [1726745193.354849, 1710419146.253210]: timestamp 1726745193.00 VDD_IN 4874mW/5216mW VDD_CPU_GPU_CV 901mW/1210mW VDD_SOC 1145mW/1135mW
[INFO] [1726745194.374245, 1710419146.253210]: timestamp 1726745194.00 VDD_IN 4833mW/5204mW VDD_CPU_GPU_CV 819mW/1198mW VDD_SOC 1145mW/1135mW
[INFO] [1726745195.392936, 1710419146.253210]: timestamp 1726745195.00 VDD_IN 4833mW/5192mW VDD_CPU_GPU_CV 860mW/1187mW VDD_SOC 1145mW/1136mW
[INFO] [1726745196.411412, 1710419146.253210]: timestamp 1726745196.00 VDD_IN 4628mW/5175mW VDD_CPU_GPU_CV 696mW/1172mW VDD_SOC 1104mW/1135mW
[INFO] [1726745197.429562, 1710419146.253210]: timestamp 1726745197.00 VDD_IN 4710mW/5162mW VDD_CPU_GPU_CV 737mW/1159mW VDD_SOC 1104mW/1134mW
[INFO] [1726745198.449824, 1710419146.253210]: timestamp 1726745198.00 VDD_IN 4587mW/5145mW VDD_CPU_GPU_CV 655mW/1145mW VDD_SOC 1104mW/1133mW
