[INFO] [1726584621.680647, 0.000000]: Start power_monitor
[INFO] [1726584623.094949, 1710419133.234050]: timestamp 1726584623.00 VDD_IN 5816mW/5816mW VDD_CPU_GPU_CV 1720mW/1720mW VDD_SOC 1145mW/1145mW
[INFO] [1726584624.125507, 1710419134.275141]: timestamp 1726584624.00 VDD_IN 6758mW/6287mW VDD_CPU_GPU_CV 2662mW/2191mW VDD_SOC 1187mW/1166mW
[INFO] [1726584625.156140, 1710419135.302362]: timestamp 1726584625.00 VDD_IN 6512mW/6362mW VDD_CPU_GPU_CV 2457mW/2279mW VDD_SOC 1185mW/1172mW
[INFO] [1726584626.179234, 1710419136.320233]: timestamp 1726584626.00 VDD_IN 5652mW/6184mW VDD_CPU_GPU_CV 1556mW/2098mW VDD_SOC 1185mW/1175mW
[INFO] [1726584627.198675, 1710419137.340104]: timestamp 1726584627.00 VDD_IN 6768mW/6301mW VDD_CPU_GPU_CV 2703mW/2219mW VDD_SOC 1146mW/1169mW
[INFO] [1726584628.217053, 1710419138.362905]: timestamp 1726584628.00 VDD_IN 5980mW/6247mW VDD_CPU_GPU_CV 1966mW/2177mW VDD_SOC 1145mW/1165mW
[INFO] [1726584629.236477, 1710419139.380992]: timestamp 1726584629.00 VDD_IN 5488mW/6139mW VDD_CPU_GPU_CV 1433mW/2071mW VDD_SOC 1145mW/1162mW
[INFO] [1726584630.256229, 1710419140.404480]: timestamp 1726584630.00 VDD_IN 4751mW/5965mW VDD_CPU_GPU_CV 778mW/1909mW VDD_SOC 1145mW/1160mW
[INFO] [1726584631.278875, 1710419141.419394]: timestamp 1726584631.00 VDD_IN 4792mW/5835mW VDD_CPU_GPU_CV 819mW/1788mW VDD_SOC 1145mW/1158mW
[INFO] [1726584632.297544, 1710419142.442804]: timestamp 1726584632.00 VDD_IN 4669mW/5718mW VDD_CPU_GPU_CV 737mW/1683mW VDD_SOC 1104mW/1153mW
[INFO] [1726584633.315433, 1710419143.254412]: timestamp 1726584633.00 VDD_IN 4833mW/5638mW VDD_CPU_GPU_CV 860mW/1608mW VDD_SOC 1145mW/1152mW
[INFO] [1726584634.333348, 1710419143.254412]: timestamp 1726584634.00 VDD_IN 5242mW/5605mW VDD_CPU_GPU_CV 1187mW/1573mW VDD_SOC 1145mW/1151mW
[INFO] [1726584635.352876, 1710419143.254412]: timestamp 1726584635.00 VDD_IN 4792mW/5542mW VDD_CPU_GPU_CV 819mW/1515mW VDD_SOC 1145mW/1151mW
[INFO] [1726584636.371438, 1710419143.254412]: timestamp 1726584636.00 VDD_IN 4833mW/5491mW VDD_CPU_GPU_CV 860mW/1468mW VDD_SOC 1145mW/1150mW
[INFO] [1726584637.388355, 1710419143.254412]: timestamp 1726584637.00 VDD_IN 4751mW/5442mW VDD_CPU_GPU_CV 778mW/1422mW VDD_SOC 1104mW/1147mW
[INFO] [1726584638.405709, 1710419143.254412]: timestamp 1726584638.00 VDD_IN 4710mW/5396mW VDD_CPU_GPU_CV 778mW/1382mW VDD_SOC 1104mW/1145mW
[INFO] [1726584639.420236, 1710419143.254412]: timestamp 1726584639.00 VDD_IN 4751mW/5358mW VDD_CPU_GPU_CV 778mW/1346mW VDD_SOC 1104mW/1142mW
[INFO] [1726584640.438475, 1710419143.254412]: timestamp 1726584640.00 VDD_IN 4546mW/5313mW VDD_CPU_GPU_CV 614mW/1305mW VDD_SOC 1104mW/1140mW
