[INFO] [1726748106.060374, 0.000000]: Start power_monitor
[INFO] [1726748107.625106, 1710419142.949342]: timestamp 1726748107.00 VDD_IN 5365mW/5365mW VDD_CPU_GPU_CV 1351mW/1351mW VDD_SOC 1104mW/1104mW
[INFO] [1726748108.647008, 1710419143.983164]: timestamp 1726748108.00 VDD_IN 5447mW/5406mW VDD_CPU_GPU_CV 1351mW/1351mW VDD_SOC 1104mW/1104mW
[INFO] [1726748109.659153, 1710419144.999048]: timestamp 1726748109.00 VDD_IN 6103mW/5638mW VDD_CPU_GPU_CV 2007mW/1569mW VDD_SOC 1145mW/1117mW
[INFO] [1726748110.692752, 1710419146.026163]: timestamp 1726748110.00 VDD_IN 6103mW/5754mW VDD_CPU_GPU_CV 2048mW/1689mW VDD_SOC 1104mW/1114mW
[INFO] [1726748111.700192, 1710419147.033283]: timestamp 1726748111.00 VDD_IN 5570mW/5717mW VDD_CPU_GPU_CV 1474mW/1646mW VDD_SOC 1104mW/1112mW
[INFO] [1726748112.712579, 1710419148.039310]: timestamp 1726748112.00 VDD_IN 5079mW/5611mW VDD_CPU_GPU_CV 1064mW/1549mW VDD_SOC 1104mW/1110mW
[INFO] [1726748113.730610, 1710419124.193500]: timestamp 1726748113.00 VDD_IN 6389mW/5722mW VDD_CPU_GPU_CV 2334mW/1661mW VDD_SOC 1104mW/1109mW
[INFO] [1726748114.762978, 1710419125.232789]: timestamp 1726748114.00 VDD_IN 6471mW/5815mW VDD_CPU_GPU_CV 2416mW/1755mW VDD_SOC 1104mW/1109mW
[INFO] [1726748115.779004, 1710419126.245331]: timestamp 1726748115.00 VDD_IN 5734mW/5806mW VDD_CPU_GPU_CV 1720mW/1751mW VDD_SOC 1104mW/1108mW
[INFO] [1726748116.803388, 1710419127.271235]: timestamp 1726748116.00 VDD_IN 5160mW/5742mW VDD_CPU_GPU_CV 1146mW/1691mW VDD_SOC 1104mW/1108mW
[INFO] [1726748117.820369, 1710419128.283376]: timestamp 1726748117.00 VDD_IN 5038mW/5678mW VDD_CPU_GPU_CV 1024mW/1630mW VDD_SOC 1104mW/1107mW
[INFO] [1726748118.840734, 1710419129.309649]: timestamp 1726748118.00 VDD_IN 5283mW/5645mW VDD_CPU_GPU_CV 1228mW/1596mW VDD_SOC 1104mW/1107mW
[INFO] [1726748119.866421, 1710419130.334723]: timestamp 1726748119.00 VDD_IN 5079mW/5601mW VDD_CPU_GPU_CV 1024mW/1552mW VDD_SOC 1104mW/1107mW
[INFO] [1726748120.887244, 1710419131.359824]: timestamp 1726748120.00 VDD_IN 4915mW/5552mW VDD_CPU_GPU_CV 942mW/1509mW VDD_SOC 1104mW/1106mW
[INFO] [1726748121.903656, 1710419131.693677]: timestamp 1726748121.00 VDD_IN 5529mW/5551mW VDD_CPU_GPU_CV 1474mW/1506mW VDD_SOC 1104mW/1106mW
[INFO] [1726748122.920786, 1710419131.693677]: timestamp 1726748122.00 VDD_IN 5324mW/5536mW VDD_CPU_GPU_CV 1269mW/1492mW VDD_SOC 1104mW/1106mW
[INFO] [1726748123.941241, 1710419131.693677]: timestamp 1726748123.00 VDD_IN 5160mW/5514mW VDD_CPU_GPU_CV 1105mW/1469mW VDD_SOC 1104mW/1106mW
[INFO] [1726748124.956432, 1710419131.693677]: timestamp 1726748124.00 VDD_IN 5201mW/5497mW VDD_CPU_GPU_CV 1146mW/1451mW VDD_SOC 1104mW/1106mW
[INFO] [1726748125.973390, 1710419131.693677]: timestamp 1726748125.00 VDD_IN 5324mW/5488mW VDD_CPU_GPU_CV 1228mW/1439mW VDD_SOC 1104mW/1106mW
[INFO] [1726748126.988806, 1710419131.693677]: timestamp 1726748126.00 VDD_IN 4997mW/5463mW VDD_CPU_GPU_CV 983mW/1416mW VDD_SOC 1104mW/1106mW
[INFO] [1726748128.011978, 1710419131.693677]: timestamp 1726748128.00 VDD_IN 5120mW/5447mW VDD_CPU_GPU_CV 1064mW/1399mW VDD_SOC 1104mW/1105mW
[INFO] [1726748129.027840, 1710419131.693677]: timestamp 1726748129.00 VDD_IN 5079mW/5430mW VDD_CPU_GPU_CV 1024mW/1382mW VDD_SOC 1104mW/1105mW
[INFO] [1726748130.046708, 1710419131.693677]: timestamp 1726748130.00 VDD_IN 5120mW/5416mW VDD_CPU_GPU_CV 1064mW/1368mW VDD_SOC 1104mW/1105mW
[INFO] [1726748131.094170, 1710419131.693677]: timestamp 1726748131.00 VDD_IN 4997mW/5399mW VDD_CPU_GPU_CV 983mW/1352mW VDD_SOC 1104mW/1105mW
[INFO] [1726748132.120350, 1710419131.693677]: timestamp 1726748132.00 VDD_IN 4997mW/5383mW VDD_CPU_GPU_CV 942mW/1336mW VDD_SOC 1104mW/1105mW
[INFO] [1726748133.139371, 1710419131.693677]: timestamp 1726748133.00 VDD_IN 5079mW/5371mW VDD_CPU_GPU_CV 1024mW/1324mW VDD_SOC 1104mW/1105mW
[INFO] [1726748134.161629, 1710419131.693677]: timestamp 1726748134.00 VDD_IN 5160mW/5363mW VDD_CPU_GPU_CV 1064mW/1314mW VDD_SOC 1104mW/1105mW
[INFO] [1726748135.176096, 1710419131.693677]: timestamp 1726748135.00 VDD_IN 4997mW/5350mW VDD_CPU_GPU_CV 983mW/1302mW VDD_SOC 1104mW/1105mW
