[INFO] [1726748929.028449, 0.000000]: Start power_monitor
[INFO] [1726748930.225348, 1710419129.337281]: timestamp 1726748930.00 VDD_IN 5201mW/5201mW VDD_CPU_GPU_CV 1269mW/1269mW VDD_SOC 1104mW/1104mW
[INFO] [1726748931.236537, 1710419130.355080]: timestamp 1726748931.00 VDD_IN 5242mW/5221mW VDD_CPU_GPU_CV 1228mW/1248mW VDD_SOC 1145mW/1124mW
[INFO] [1726748932.245430, 1710419131.368382]: timestamp 1726748932.00 VDD_IN 6062mW/5501mW VDD_CPU_GPU_CV 2048mW/1515mW VDD_SOC 1145mW/1131mW
[INFO] [1726748933.266220, 1710419132.387691]: timestamp 1726748933.00 VDD_IN 6809mW/5828mW VDD_CPU_GPU_CV 2785mW/1832mW VDD_SOC 1146mW/1135mW
[INFO] [1726748934.282595, 1710419133.401738]: timestamp 1726748934.00 VDD_IN 6103mW/5883mW VDD_CPU_GPU_CV 2088mW/1883mW VDD_SOC 1145mW/1137mW
[INFO] [1726748935.303343, 1710419134.421165]: timestamp 1726748935.00 VDD_IN 5283mW/5783mW VDD_CPU_GPU_CV 1269mW/1781mW VDD_SOC 1104mW/1131mW
[INFO] [1726748936.318628, 1710419135.433656]: timestamp 1726748936.00 VDD_IN 4956mW/5665mW VDD_CPU_GPU_CV 1024mW/1673mW VDD_SOC 1104mW/1127mW
[INFO] [1726748937.337204, 1710419136.456928]: timestamp 1726748937.00 VDD_IN 6645mW/5787mW VDD_CPU_GPU_CV 2703mW/1801mW VDD_SOC 1105mW/1124mW
[INFO] [1726748938.354736, 1710419137.471084]: timestamp 1726748938.00 VDD_IN 5365mW/5740mW VDD_CPU_GPU_CV 1433mW/1760mW VDD_SOC 1104mW/1122mW
[INFO] [1726748939.377239, 1710419138.494550]: timestamp 1726748939.00 VDD_IN 4997mW/5666mW VDD_CPU_GPU_CV 1024mW/1687mW VDD_SOC 1104mW/1120mW
[INFO] [1726748940.396378, 1710419139.516695]: timestamp 1726748940.00 VDD_IN 4751mW/5583mW VDD_CPU_GPU_CV 819mW/1608mW VDD_SOC 1104mW/1119mW
