[INFO] [1726747262.702090, 0.000000]: Start power_monitor
[INFO] [1726747263.938722, 1710419131.091737]: timestamp 1726747263.00 VDD_IN 5898mW/5898mW VDD_CPU_GPU_CV 1925mW/1925mW VDD_SOC 1145mW/1145mW
[INFO] [1726747264.946744, 1710419132.103874]: timestamp 1726747264.00 VDD_IN 5406mW/5652mW VDD_CPU_GPU_CV 1351mW/1638mW VDD_SOC 1145mW/1145mW
[INFO] [1726747265.965042, 1710419133.123476]: timestamp 1726747265.00 VDD_IN 6348mW/5884mW VDD_CPU_GPU_CV 2293mW/1856mW VDD_SOC 1145mW/1145mW
[INFO] [1726747266.984870, 1710419134.143410]: timestamp 1726747266.00 VDD_IN 6881mW/6133mW VDD_CPU_GPU_CV 2826mW/2098mW VDD_SOC 1145mW/1145mW
[INFO] [1726747268.012350, 1710419135.178611]: timestamp 1726747268.00 VDD_IN 6184mW/6143mW VDD_CPU_GPU_CV 2129mW/2104mW VDD_SOC 1185mW/1153mW
[INFO] [1726747269.029916, 1710419136.195809]: timestamp 1726747269.00 VDD_IN 5365mW/6013mW VDD_CPU_GPU_CV 1351mW/1979mW VDD_SOC 1145mW/1151mW
[INFO] [1726747270.048700, 1710419137.210084]: timestamp 1726747270.00 VDD_IN 5324mW/5915mW VDD_CPU_GPU_CV 1310mW/1883mW VDD_SOC 1145mW/1150mW
[INFO] [1726747271.065543, 1710419138.213653]: timestamp 1726747271.00 VDD_IN 6758mW/6020mW VDD_CPU_GPU_CV 2785mW/1996mW VDD_SOC 1146mW/1150mW
[INFO] [1726747272.088733, 1710419139.245502]: timestamp 1726747272.00 VDD_IN 5611mW/5975mW VDD_CPU_GPU_CV 1597mW/1951mW VDD_SOC 1145mW/1149mW
[INFO] [1726747273.232959, 1710419140.393529]: timestamp 1726747273.00 VDD_IN 5120mW/5889mW VDD_CPU_GPU_CV 1105mW/1867mW VDD_SOC 1145mW/1149mW
[INFO] [1726747274.240408, 1710419141.405769]: timestamp 1726747274.00 VDD_IN 4792mW/5789mW VDD_CPU_GPU_CV 860mW/1775mW VDD_SOC 1104mW/1145mW
[INFO] [1726747275.247398, 1710419142.409640]: timestamp 1726747275.00 VDD_IN 4915mW/5716mW VDD_CPU_GPU_CV 942mW/1706mW VDD_SOC 1145mW/1145mW
[INFO] [1726747276.255595, 1710419143.422645]: timestamp 1726747276.00 VDD_IN 4833mW/5648mW VDD_CPU_GPU_CV 860mW/1641mW VDD_SOC 1104mW/1141mW
[INFO] [1726747277.261010, 1710419144.426945]: timestamp 1726747277.00 VDD_IN 5120mW/5611mW VDD_CPU_GPU_CV 1064mW/1599mW VDD_SOC 1145mW/1142mW
[INFO] [1726747278.267260, 1710419144.922644]: timestamp 1726747278.00 VDD_IN 5980mW/5635mW VDD_CPU_GPU_CV 1884mW/1618mW VDD_SOC 1185mW/1144mW
[INFO] [1726747279.276429, 1710419144.922644]: timestamp 1726747279.00 VDD_IN 4792mW/5582mW VDD_CPU_GPU_CV 819mW/1568mW VDD_SOC 1104mW/1142mW
[INFO] [1726747280.284922, 1710419144.922644]: timestamp 1726747280.00 VDD_IN 4997mW/5548mW VDD_CPU_GPU_CV 1024mW/1536mW VDD_SOC 1145mW/1142mW
[INFO] [1726747281.292676, 1710419144.922644]: timestamp 1726747281.00 VDD_IN 5160mW/5526mW VDD_CPU_GPU_CV 1146mW/1515mW VDD_SOC 1145mW/1142mW
[INFO] [1726747282.300623, 1710419144.922644]: timestamp 1726747282.00 VDD_IN 4874mW/5492mW VDD_CPU_GPU_CV 901mW/1482mW VDD_SOC 1104mW/1140mW
[INFO] [1726747283.310241, 1710419144.922644]: timestamp 1726747283.00 VDD_IN 4915mW/5463mW VDD_CPU_GPU_CV 942mW/1455mW VDD_SOC 1145mW/1140mW
[INFO] [1726747284.330502, 1710419144.922644]: timestamp 1726747284.00 VDD_IN 4915mW/5437mW VDD_CPU_GPU_CV 942mW/1431mW VDD_SOC 1145mW/1141mW
[INFO] [1726747285.351131, 1710419144.922644]: timestamp 1726747285.00 VDD_IN 4915mW/5413mW VDD_CPU_GPU_CV 901mW/1407mW VDD_SOC 1145mW/1141mW
[INFO] [1726747286.368133, 1710419144.922644]: timestamp 1726747286.00 VDD_IN 4997mW/5395mW VDD_CPU_GPU_CV 983mW/1388mW VDD_SOC 1145mW/1141mW
