[INFO] [1726589599.104390, 0.000000]: Start power_monitor
[INFO] [1726589600.334107, 1710419147.325788]: timestamp 1726589600.00 VDD_IN 6225mW/6225mW VDD_CPU_GPU_CV 2129mW/2129mW VDD_SOC 1145mW/1145mW
[INFO] [1726589601.372177, 1710419148.358957]: timestamp 1726589601.00 VDD_IN 6686mW/6455mW VDD_CPU_GPU_CV 2539mW/2334mW VDD_SOC 1146mW/1145mW
[INFO] [1726589602.378872, 1710419124.503694]: timestamp 1726589602.00 VDD_IN 5652mW/6187mW VDD_CPU_GPU_CV 1597mW/2088mW VDD_SOC 1145mW/1145mW
[INFO] [1726589603.385553, 1710419125.507322]: timestamp 1726589603.00 VDD_IN 6563mW/6281mW VDD_CPU_GPU_CV 2498mW/2190mW VDD_SOC 1146mW/1145mW
[INFO] [1726589604.395223, 1710419126.521361]: timestamp 1726589604.00 VDD_IN 5898mW/6204mW VDD_CPU_GPU_CV 1884mW/2129mW VDD_SOC 1145mW/1145mW
[INFO] [1726589605.421497, 1710419127.547087]: timestamp 1726589605.00 VDD_IN 5160mW/6030mW VDD_CPU_GPU_CV 1187mW/1972mW VDD_SOC 1104mW/1138mW
[INFO] [1726589606.441194, 1710419128.569764]: timestamp 1726589606.00 VDD_IN 4751mW/5847mW VDD_CPU_GPU_CV 819mW/1807mW VDD_SOC 1104mW/1133mW
[INFO] [1726589607.460469, 1710419129.583445]: timestamp 1726589607.00 VDD_IN 4669mW/5700mW VDD_CPU_GPU_CV 778mW/1678mW VDD_SOC 1104mW/1129mW
[INFO] [1726589608.482332, 1710419130.607122]: timestamp 1726589608.00 VDD_IN 4669mW/5585mW VDD_CPU_GPU_CV 778mW/1578mW VDD_SOC 1104mW/1127mW
[INFO] [1726589609.504664, 1710419131.237221]: timestamp 1726589609.00 VDD_IN 4997mW/5527mW VDD_CPU_GPU_CV 1064mW/1527mW VDD_SOC 1104mW/1124mW
[INFO] [1726589610.525730, 1710419131.237221]: timestamp 1726589610.00 VDD_IN 4751mW/5456mW VDD_CPU_GPU_CV 860mW/1466mW VDD_SOC 1104mW/1122mW
[INFO] [1726589611.544238, 1710419131.237221]: timestamp 1726589611.00 VDD_IN 4423mW/5370mW VDD_CPU_GPU_CV 573mW/1392mW VDD_SOC 1063mW/1117mW
[INFO] [1726589612.562928, 1710419131.237221]: timestamp 1726589612.00 VDD_IN 4751mW/5322mW VDD_CPU_GPU_CV 778mW/1344mW VDD_SOC 1104mW/1116mW
[INFO] [1726589613.582092, 1710419131.237221]: timestamp 1726589613.00 VDD_IN 4546mW/5267mW VDD_CPU_GPU_CV 655mW/1295mW VDD_SOC 1063mW/1112mW
[INFO] [1726589614.599311, 1710419131.237221]: timestamp 1726589614.00 VDD_IN 4341mW/5205mW VDD_CPU_GPU_CV 491mW/1242mW VDD_SOC 1063mW/1109mW
[INFO] [1726589615.618583, 1710419131.237221]: timestamp 1726589615.00 VDD_IN 4464mW/5159mW VDD_CPU_GPU_CV 614mW/1202mW VDD_SOC 1063mW/1106mW
[INFO] [1726589616.638442, 1710419131.237221]: timestamp 1726589616.00 VDD_IN 4710mW/5132mW VDD_CPU_GPU_CV 778mW/1177mW VDD_SOC 1104mW/1106mW
[INFO] [1726589617.658659, 1710419131.237221]: timestamp 1726589617.00 VDD_IN 4587mW/5102mW VDD_CPU_GPU_CV 696mW/1151mW VDD_SOC 1104mW/1106mW
[INFO] [1726589618.675119, 1710419131.237221]: timestamp 1726589618.00 VDD_IN 4669mW/5079mW VDD_CPU_GPU_CV 737mW/1129mW VDD_SOC 1104mW/1106mW
[INFO] [1726589619.693620, 1710419131.237221]: timestamp 1726589619.00 VDD_IN 4587mW/5054mW VDD_CPU_GPU_CV 696mW/1107mW VDD_SOC 1104mW/1106mW
[INFO] [1726589620.711397, 1710419131.237221]: timestamp 1726589620.00 VDD_IN 4669mW/5036mW VDD_CPU_GPU_CV 737mW/1089mW VDD_SOC 1104mW/1106mW
[INFO] [1726589621.728242, 1710419131.237221]: timestamp 1726589621.00 VDD_IN 4587mW/5016mW VDD_CPU_GPU_CV 696mW/1072mW VDD_SOC 1104mW/1105mW
[INFO] [1726589622.745357, 1710419131.237221]: timestamp 1726589622.00 VDD_IN 4587mW/4997mW VDD_CPU_GPU_CV 696mW/1055mW VDD_SOC 1063mW/1104mW
[INFO] [1726589623.762124, 1710419131.237221]: timestamp 1726589623.00 VDD_IN 4669mW/4983mW VDD_CPU_GPU_CV 737mW/1042mW VDD_SOC 1104mW/1104mW
[INFO] [1726589624.780663, 1710419131.237221]: timestamp 1726589624.00 VDD_IN 4587mW/4967mW VDD_CPU_GPU_CV 696mW/1028mW VDD_SOC 1063mW/1102mW
[INFO] [1726589625.798516, 1710419131.237221]: timestamp 1726589625.00 VDD_IN 4546mW/4951mW VDD_CPU_GPU_CV 655mW/1014mW VDD_SOC 1063mW/1100mW
[INFO] [1726589626.815343, 1710419131.237221]: timestamp 1726589626.00 VDD_IN 4628mW/4939mW VDD_CPU_GPU_CV 737mW/1003mW VDD_SOC 1063mW/1099mW
[INFO] [1726589627.834046, 1710419131.237221]: timestamp 1726589627.00 VDD_IN 4587mW/4927mW VDD_CPU_GPU_CV 696mW/992mW VDD_SOC 1063mW/1098mW
[INFO] [1726589628.851124, 1710419131.237221]: timestamp 1726589628.00 VDD_IN 4587mW/4915mW VDD_CPU_GPU_CV 696mW/982mW VDD_SOC 1063mW/1097mW
[INFO] [1726589629.870067, 1710419131.237221]: timestamp 1726589629.00 VDD_IN 4587mW/4904mW VDD_CPU_GPU_CV 696mW/973mW VDD_SOC 1063mW/1095mW
[INFO] [1726589630.889398, 1710419131.237221]: timestamp 1726589630.00 VDD_IN 4587mW/4894mW VDD_CPU_GPU_CV 696mW/964mW VDD_SOC 1063mW/1094mW
[INFO] [1726589631.909500, 1710419131.237221]: timestamp 1726589631.00 VDD_IN 4628mW/4885mW VDD_CPU_GPU_CV 737mW/957mW VDD_SOC 1104mW/1095mW
[INFO] [1726589632.930081, 1710419131.237221]: timestamp 1726589632.00 VDD_IN 4874mW/4885mW VDD_CPU_GPU_CV 942mW/956mW VDD_SOC 1104mW/1095mW
[INFO] [1726589633.946515, 1710419131.237221]: timestamp 1726589633.00 VDD_IN 4546mW/4875mW VDD_CPU_GPU_CV 655mW/947mW VDD_SOC 1063mW/1094mW
[INFO] [1726589634.964445, 1710419131.237221]: timestamp 1726589634.00 VDD_IN 4628mW/4868mW VDD_CPU_GPU_CV 696mW/940mW VDD_SOC 1063mW/1093mW
[INFO] [1726589635.985320, 1710419131.237221]: timestamp 1726589635.00 VDD_IN 4628mW/4861mW VDD_CPU_GPU_CV 696mW/933mW VDD_SOC 1063mW/1092mW
[INFO] [1726589637.002540, 1710419131.237221]: timestamp 1726589636.00 VDD_IN 4464mW/4851mW VDD_CPU_GPU_CV 573mW/924mW VDD_SOC 1063mW/1091mW
[INFO] [1726589638.021549, 1710419131.237221]: timestamp 1726589638.00 VDD_IN 4505mW/4841mW VDD_CPU_GPU_CV 614mW/915mW VDD_SOC 1063mW/1091mW
[INFO] [1726589639.041836, 1710419131.237221]: timestamp 1726589639.00 VDD_IN 4382mW/4830mW VDD_CPU_GPU_CV 532mW/906mW VDD_SOC 1063mW/1090mW
[INFO] [1726589640.060596, 1710419131.237221]: timestamp 1726589640.00 VDD_IN 4382mW/4818mW VDD_CPU_GPU_CV 532mW/896mW VDD_SOC 1063mW/1089mW
[INFO] [1726589641.078127, 1710419131.237221]: timestamp 1726589641.00 VDD_IN 4382mW/4808mW VDD_CPU_GPU_CV 532mW/887mW VDD_SOC 1063mW/1089mW
[INFO] [1726589642.095968, 1710419131.237221]: timestamp 1726589642.00 VDD_IN 4341mW/4797mW VDD_CPU_GPU_CV 532mW/879mW VDD_SOC 1063mW/1088mW
[INFO] [1726589643.113338, 1710419131.237221]: timestamp 1726589643.00 VDD_IN 4341mW/4786mW VDD_CPU_GPU_CV 491mW/870mW VDD_SOC 1063mW/1087mW
[INFO] [1726589644.131896, 1710419131.237221]: timestamp 1726589644.00 VDD_IN 4464mW/4779mW VDD_CPU_GPU_CV 573mW/863mW VDD_SOC 1063mW/1087mW
[INFO] [1726589645.153231, 1710419131.237221]: timestamp 1726589645.00 VDD_IN 4546mW/4774mW VDD_CPU_GPU_CV 655mW/858mW VDD_SOC 1063mW/1086mW
[INFO] [1726589646.172236, 1710419131.237221]: timestamp 1726589646.00 VDD_IN 4423mW/4766mW VDD_CPU_GPU_CV 573mW/852mW VDD_SOC 1063mW/1086mW
[INFO] [1726589647.191870, 1710419131.237221]: timestamp 1726589647.00 VDD_IN 4505mW/4760mW VDD_CPU_GPU_CV 655mW/848mW VDD_SOC 1063mW/1085mW
[INFO] [1726589648.209718, 1710419131.237221]: timestamp 1726589648.00 VDD_IN 4587mW/4757mW VDD_CPU_GPU_CV 696mW/845mW VDD_SOC 1063mW/1085mW
[INFO] [1726589649.227340, 1710419131.237221]: timestamp 1726589649.00 VDD_IN 4587mW/4753mW VDD_CPU_GPU_CV 696mW/842mW VDD_SOC 1063mW/1084mW
[INFO] [1726589650.244707, 1710419131.237221]: timestamp 1726589650.00 VDD_IN 4341mW/4745mW VDD_CPU_GPU_CV 491mW/835mW VDD_SOC 1063mW/1084mW
[INFO] [1726589651.261960, 1710419131.237221]: timestamp 1726589651.00 VDD_IN 4177mW/4734mW VDD_CPU_GPU_CV 327mW/825mW VDD_SOC 1063mW/1083mW
[INFO] [1726589652.280081, 1710419131.237221]: timestamp 1726589652.00 VDD_IN 4136mW/4722mW VDD_CPU_GPU_CV 327mW/815mW VDD_SOC 1063mW/1083mW
[INFO] [1726589653.297259, 1710419131.237221]: timestamp 1726589653.00 VDD_IN 4177mW/4712mW VDD_CPU_GPU_CV 368mW/807mW VDD_SOC 1063mW/1083mW
[INFO] [1726589654.314680, 1710419131.237221]: timestamp 1726589654.00 VDD_IN 4177mW/4702mW VDD_CPU_GPU_CV 368mW/799mW VDD_SOC 1063mW/1082mW
[INFO] [1726589655.332639, 1710419131.237221]: timestamp 1726589655.00 VDD_IN 4218mW/4693mW VDD_CPU_GPU_CV 409mW/791mW VDD_SOC 1063mW/1082mW
[INFO] [1726589656.349564, 1710419131.237221]: timestamp 1726589656.00 VDD_IN 4136mW/4683mW VDD_CPU_GPU_CV 327mW/783mW VDD_SOC 1063mW/1082mW
[INFO] [1726589657.367075, 1710419131.237221]: timestamp 1726589657.00 VDD_IN 4177mW/4674mW VDD_CPU_GPU_CV 368mW/776mW VDD_SOC 1063mW/1081mW
[INFO] [1726589658.384329, 1710419131.237221]: timestamp 1726589658.00 VDD_IN 4218mW/4667mW VDD_CPU_GPU_CV 408mW/770mW VDD_SOC 1063mW/1081mW
[INFO] [1726589659.401747, 1710419131.237221]: timestamp 1726589659.00 VDD_IN 4177mW/4658mW VDD_CPU_GPU_CV 368mW/763mW VDD_SOC 1022mW/1080mW
[INFO] [1726589660.419307, 1710419131.237221]: timestamp 1726589660.00 VDD_IN 4177mW/4650mW VDD_CPU_GPU_CV 368mW/756mW VDD_SOC 1063mW/1080mW
[INFO] [1726589661.438464, 1710419131.237221]: timestamp 1726589661.00 VDD_IN 4382mW/4646mW VDD_CPU_GPU_CV 531mW/752mW VDD_SOC 1063mW/1079mW
[INFO] [1726589662.455581, 1710419131.237221]: timestamp 1726589662.00 VDD_IN 4341mW/4641mW VDD_CPU_GPU_CV 491mW/748mW VDD_SOC 1063mW/1079mW
[INFO] [1726589663.476182, 1710419131.237221]: timestamp 1726589663.00 VDD_IN 4546mW/4639mW VDD_CPU_GPU_CV 655mW/747mW VDD_SOC 1063mW/1079mW
[INFO] [1726589664.493077, 1710419131.237221]: timestamp 1726589664.00 VDD_IN 4259mW/4633mW VDD_CPU_GPU_CV 449mW/742mW VDD_SOC 1063mW/1079mW
[INFO] [1726589665.510036, 1710419131.237221]: timestamp 1726589665.00 VDD_IN 4218mW/4627mW VDD_CPU_GPU_CV 408mW/737mW VDD_SOC 1063mW/1078mW
[INFO] [1726589666.528044, 1710419131.237221]: timestamp 1726589666.00 VDD_IN 4259mW/4621mW VDD_CPU_GPU_CV 450mW/733mW VDD_SOC 1063mW/1078mW
[INFO] [1726589667.545716, 1710419131.237221]: timestamp 1726589667.00 VDD_IN 4259mW/4616mW VDD_CPU_GPU_CV 450mW/728mW VDD_SOC 1063mW/1078mW
[INFO] [1726589668.563647, 1710419131.237221]: timestamp 1726589668.00 VDD_IN 4382mW/4613mW VDD_CPU_GPU_CV 532mW/725mW VDD_SOC 1063mW/1078mW
[INFO] [1726589669.582868, 1710419131.237221]: timestamp 1726589669.00 VDD_IN 4341mW/4609mW VDD_CPU_GPU_CV 491mW/722mW VDD_SOC 1063mW/1077mW
[INFO] [1726589670.601187, 1710419131.237221]: timestamp 1726589670.00 VDD_IN 4382mW/4605mW VDD_CPU_GPU_CV 532mW/719mW VDD_SOC 1063mW/1077mW
[INFO] [1726589671.619933, 1710419131.237221]: timestamp 1726589671.00 VDD_IN 4300mW/4601mW VDD_CPU_GPU_CV 491mW/716mW VDD_SOC 1063mW/1077mW
[INFO] [1726589672.637538, 1710419131.237221]: timestamp 1726589672.00 VDD_IN 4300mW/4597mW VDD_CPU_GPU_CV 491mW/713mW VDD_SOC 1063mW/1077mW
[INFO] [1726589673.655179, 1710419131.237221]: timestamp 1726589673.00 VDD_IN 4382mW/4594mW VDD_CPU_GPU_CV 532mW/710mW VDD_SOC 1063mW/1077mW
[INFO] [1726589674.673929, 1710419131.237221]: timestamp 1726589674.00 VDD_IN 4341mW/4591mW VDD_CPU_GPU_CV 491mW/708mW VDD_SOC 1063mW/1076mW
[INFO] [1726589675.691259, 1710419131.237221]: timestamp 1726589675.00 VDD_IN 4341mW/4587mW VDD_CPU_GPU_CV 490mW/705mW VDD_SOC 1063mW/1076mW
[INFO] [1726589676.710112, 1710419131.237221]: timestamp 1726589676.00 VDD_IN 4464mW/4586mW VDD_CPU_GPU_CV 573mW/703mW VDD_SOC 1063mW/1076mW
[INFO] [1726589677.726654, 1710419131.237221]: timestamp 1726589677.00 VDD_IN 4587mW/4586mW VDD_CPU_GPU_CV 696mW/703mW VDD_SOC 1063mW/1076mW
[INFO] [1726589678.746160, 1710419131.237221]: timestamp 1726589678.00 VDD_IN 4587mW/4586mW VDD_CPU_GPU_CV 696mW/703mW VDD_SOC 1063mW/1076mW
[INFO] [1726589679.764439, 1710419131.237221]: timestamp 1726589679.00 VDD_IN 4587mW/4586mW VDD_CPU_GPU_CV 696mW/703mW VDD_SOC 1063mW/1076mW
[INFO] [1726589680.781425, 1710419131.237221]: timestamp 1726589680.00 VDD_IN 4546mW/4585mW VDD_CPU_GPU_CV 655mW/702mW VDD_SOC 1063mW/1075mW
[INFO] [1726589681.797778, 1710419131.237221]: timestamp 1726589681.00 VDD_IN 4546mW/4585mW VDD_CPU_GPU_CV 655mW/701mW VDD_SOC 1063mW/1075mW
[INFO] [1726589682.817952, 1710419131.237221]: timestamp 1726589682.00 VDD_IN 4587mW/4585mW VDD_CPU_GPU_CV 696mW/701mW VDD_SOC 1063mW/1075mW
[INFO] [1726589683.836640, 1710419131.237221]: timestamp 1726589683.00 VDD_IN 4546mW/4584mW VDD_CPU_GPU_CV 655mW/701mW VDD_SOC 1063mW/1075mW
[INFO] [1726589684.854191, 1710419131.237221]: timestamp 1726589684.00 VDD_IN 4505mW/4583mW VDD_CPU_GPU_CV 614mW/700mW VDD_SOC 1063mW/1075mW
[INFO] [1726589685.873151, 1710419131.237221]: timestamp 1726589685.00 VDD_IN 4505mW/4582mW VDD_CPU_GPU_CV 655mW/699mW VDD_SOC 1063mW/1075mW
[INFO] [1726589686.893425, 1710419131.237221]: timestamp 1726589686.00 VDD_IN 4382mW/4580mW VDD_CPU_GPU_CV 532mW/697mW VDD_SOC 1063mW/1074mW
[INFO] [1726589687.911619, 1710419131.237221]: timestamp 1726589687.00 VDD_IN 4464mW/4579mW VDD_CPU_GPU_CV 573mW/696mW VDD_SOC 1063mW/1074mW
[INFO] [1726589688.927194, 1710419131.237221]: timestamp 1726589688.00 VDD_IN 4464mW/4577mW VDD_CPU_GPU_CV 573mW/694mW VDD_SOC 1063mW/1074mW
[INFO] [1726589690.020375, 1710419131.237221]: timestamp 1726589689.00 VDD_IN 4259mW/4574mW VDD_CPU_GPU_CV 409mW/691mW VDD_SOC 1063mW/1074mW
[INFO] [1726589691.028177, 1710419131.237221]: timestamp 1726589690.00 VDD_IN 4177mW/4569mW VDD_CPU_GPU_CV 327mW/687mW VDD_SOC 1063mW/1074mW
[INFO] [1726589692.035619, 1710419131.237221]: timestamp 1726589691.00 VDD_IN 4177mW/4565mW VDD_CPU_GPU_CV 327mW/683mW VDD_SOC 1063mW/1074mW
[INFO] [1726589693.042621, 1710419131.237221]: timestamp 1726589692.00 VDD_IN 4382mW/4563mW VDD_CPU_GPU_CV 532mW/682mW VDD_SOC 1063mW/1074mW
[INFO] [1726589694.050824, 1710419131.237221]: timestamp 1726589694.00 VDD_IN 4341mW/4561mW VDD_CPU_GPU_CV 491mW/679mW VDD_SOC 1063mW/1074mW
[INFO] [1726589695.079781, 1710419131.237221]: timestamp 1726589695.00 VDD_IN 4423mW/4559mW VDD_CPU_GPU_CV 532mW/678mW VDD_SOC 1063mW/1073mW
[INFO] [1726589696.087216, 1710419131.237221]: timestamp 1726589696.00 VDD_IN 4259mW/4556mW VDD_CPU_GPU_CV 409mW/675mW VDD_SOC 1063mW/1073mW
[INFO] [1726589697.094755, 1710419131.237221]: timestamp 1726589697.00 VDD_IN 4300mW/4553mW VDD_CPU_GPU_CV 491mW/673mW VDD_SOC 1063mW/1073mW
[INFO] [1726589698.102886, 1710419131.237221]: timestamp 1726589698.00 VDD_IN 4300mW/4551mW VDD_CPU_GPU_CV 491mW/671mW VDD_SOC 1063mW/1073mW
[INFO] [1726589699.109970, 1710419131.237221]: timestamp 1726589699.00 VDD_IN 4341mW/4549mW VDD_CPU_GPU_CV 450mW/669mW VDD_SOC 1063mW/1073mW
[INFO] [1726589700.161772, 1710419131.237221]: timestamp 1726589700.00 VDD_IN 4300mW/4546mW VDD_CPU_GPU_CV 491mW/667mW VDD_SOC 1063mW/1073mW
[INFO] [1726589701.168521, 1710419131.237221]: timestamp 1726589701.00 VDD_IN 4259mW/4543mW VDD_CPU_GPU_CV 449mW/665mW VDD_SOC 1063mW/1073mW
[INFO] [1726589702.177235, 1710419131.237221]: timestamp 1726589702.00 VDD_IN 4341mW/4541mW VDD_CPU_GPU_CV 491mW/663mW VDD_SOC 1063mW/1073mW
[INFO] [1726589703.184933, 1710419131.237221]: timestamp 1726589703.00 VDD_IN 4423mW/4540mW VDD_CPU_GPU_CV 573mW/662mW VDD_SOC 1063mW/1073mW
[INFO] [1726589704.192224, 1710419131.237221]: timestamp 1726589704.00 VDD_IN 4505mW/4540mW VDD_CPU_GPU_CV 573mW/662mW VDD_SOC 1063mW/1072mW
[INFO] [1726589705.256666, 1710419131.237221]: timestamp 1726589705.00 VDD_IN 4587mW/4540mW VDD_CPU_GPU_CV 655mW/661mW VDD_SOC 1104mW/1073mW
[INFO] [1726589706.264583, 1710419131.237221]: timestamp 1726589706.00 VDD_IN 4464mW/4539mW VDD_CPU_GPU_CV 573mW/661mW VDD_SOC 1063mW/1073mW
[INFO] [1726589707.272129, 1710419131.237221]: timestamp 1726589707.00 VDD_IN 4546mW/4539mW VDD_CPU_GPU_CV 655mW/661mW VDD_SOC 1104mW/1073mW
[INFO] [1726589708.281056, 1710419131.237221]: timestamp 1726589708.00 VDD_IN 4628mW/4540mW VDD_CPU_GPU_CV 696mW/661mW VDD_SOC 1104mW/1073mW
[INFO] [1726589709.288402, 1710419131.237221]: timestamp 1726589709.00 VDD_IN 4587mW/4541mW VDD_CPU_GPU_CV 655mW/661mW VDD_SOC 1104mW/1074mW
[INFO] [1726589710.304507, 1710419131.237221]: timestamp 1726589710.00 VDD_IN 4587mW/4541mW VDD_CPU_GPU_CV 655mW/661mW VDD_SOC 1104mW/1074mW
[INFO] [1726589711.312638, 1710419131.237221]: timestamp 1726589711.00 VDD_IN 4505mW/4541mW VDD_CPU_GPU_CV 614mW/660mW VDD_SOC 1104mW/1074mW
[INFO] [1726589712.330471, 1710419131.237221]: timestamp 1726589712.00 VDD_IN 4505mW/4540mW VDD_CPU_GPU_CV 614mW/660mW VDD_SOC 1104mW/1074mW
[INFO] [1726589713.346643, 1710419131.237221]: timestamp 1726589713.00 VDD_IN 4587mW/4541mW VDD_CPU_GPU_CV 696mW/660mW VDD_SOC 1104mW/1075mW
[INFO] [1726589714.361936, 1710419131.237221]: timestamp 1726589714.00 VDD_IN 4587mW/4541mW VDD_CPU_GPU_CV 655mW/660mW VDD_SOC 1104mW/1075mW
[INFO] [1726589715.379867, 1710419131.237221]: timestamp 1726589715.00 VDD_IN 4546mW/4541mW VDD_CPU_GPU_CV 614mW/660mW VDD_SOC 1104mW/1075mW
[INFO] [1726589716.396772, 1710419131.237221]: timestamp 1726589716.00 VDD_IN 4546mW/4541mW VDD_CPU_GPU_CV 655mW/660mW VDD_SOC 1104mW/1075mW
[INFO] [1726589717.414953, 1710419131.237221]: timestamp 1726589717.00 VDD_IN 4505mW/4541mW VDD_CPU_GPU_CV 614mW/659mW VDD_SOC 1104mW/1076mW
[INFO] [1726589718.433039, 1710419131.237221]: timestamp 1726589718.00 VDD_IN 4341mW/4539mW VDD_CPU_GPU_CV 491mW/658mW VDD_SOC 1063mW/1075mW
[INFO] [1726589719.447098, 1710419131.237221]: timestamp 1726589719.00 VDD_IN 4341mW/4538mW VDD_CPU_GPU_CV 450mW/656mW VDD_SOC 1063mW/1075mW
[INFO] [1726589720.479799, 1710419131.237221]: timestamp 1726589720.00 VDD_IN 4341mW/4536mW VDD_CPU_GPU_CV 450mW/654mW VDD_SOC 1063mW/1075mW
[INFO] [1726589721.487382, 1710419131.237221]: timestamp 1726589721.00 VDD_IN 4382mW/4535mW VDD_CPU_GPU_CV 532mW/653mW VDD_SOC 1063mW/1075mW
