[INFO] [1726750296.883427, 0.000000]: Start power_monitor
[INFO] [1726750298.202463, 1710419137.189354]: timestamp 1726750298.00 VDD_IN 5734mW/5734mW VDD_CPU_GPU_CV 1638mW/1638mW VDD_SOC 1145mW/1145mW
[INFO] [1726750299.210932, 1710419138.212328]: timestamp 1726750299.00 VDD_IN 5201mW/5467mW VDD_CPU_GPU_CV 1146mW/1392mW VDD_SOC 1145mW/1145mW
[INFO] [1726750300.218872, 1710419139.219481]: timestamp 1726750300.00 VDD_IN 5652mW/5529mW VDD_CPU_GPU_CV 1556mW/1446mW VDD_SOC 1145mW/1145mW
[INFO] [1726750301.224435, 1710419140.200382]: timestamp 1726750301.00 VDD_IN 6553mW/5785mW VDD_CPU_GPU_CV 2457mW/1699mW VDD_SOC 1145mW/1145mW
[INFO] [1726750302.236973, 1710419141.241545]: timestamp 1726750302.00 VDD_IN 6635mW/5955mW VDD_CPU_GPU_CV 2539mW/1867mW VDD_SOC 1145mW/1145mW
[INFO] [1726750303.244336, 1710419142.250228]: timestamp 1726750303.00 VDD_IN 5079mW/5809mW VDD_CPU_GPU_CV 1105mW/1740mW VDD_SOC 1104mW/1138mW
[INFO] [1726750304.251172, 1710419143.254745]: timestamp 1726750304.00 VDD_IN 4792mW/5663mW VDD_CPU_GPU_CV 819mW/1608mW VDD_SOC 1104mW/1133mW
[INFO] [1726750305.287874, 1710419144.292247]: timestamp 1726750305.00 VDD_IN 6307mW/5744mW VDD_CPU_GPU_CV 2293mW/1694mW VDD_SOC 1145mW/1134mW
[INFO] [1726750306.306479, 1710419145.311116]: timestamp 1726750306.00 VDD_IN 6184mW/5793mW VDD_CPU_GPU_CV 2170mW/1747mW VDD_SOC 1145mW/1135mW
[INFO] [1726750307.326272, 1710419146.328888]: timestamp 1726750307.00 VDD_IN 5570mW/5770mW VDD_CPU_GPU_CV 1515mW/1723mW VDD_SOC 1145mW/1136mW
[INFO] [1726750308.346714, 1710419147.351623]: timestamp 1726750308.00 VDD_IN 4710mW/5674mW VDD_CPU_GPU_CV 778mW/1637mW VDD_SOC 1104mW/1133mW
[INFO] [1726750309.361372, 1710419148.363345]: timestamp 1726750309.00 VDD_IN 4956mW/5614mW VDD_CPU_GPU_CV 942mW/1579mW VDD_SOC 1145mW/1134mW
[INFO] [1726750310.380788, 1710419124.514273]: timestamp 1726750310.00 VDD_IN 5324mW/5592mW VDD_CPU_GPU_CV 1228mW/1552mW VDD_SOC 1145mW/1135mW
[INFO] [1726750311.397207, 1710419125.535111]: timestamp 1726750311.00 VDD_IN 5283mW/5570mW VDD_CPU_GPU_CV 1187mW/1526mW VDD_SOC 1145mW/1136mW
[INFO] [1726750312.427292, 1710419126.529095]: timestamp 1726750312.00 VDD_IN 5201mW/5545mW VDD_CPU_GPU_CV 1064mW/1495mW VDD_SOC 1145mW/1136mW
[INFO] [1726750313.444235, 1710419126.529095]: timestamp 1726750313.00 VDD_IN 5529mW/5544mW VDD_CPU_GPU_CV 1433mW/1491mW VDD_SOC 1145mW/1137mW
[INFO] [1726750314.460071, 1710419126.529095]: timestamp 1726750314.00 VDD_IN 5242mW/5526mW VDD_CPU_GPU_CV 1146mW/1471mW VDD_SOC 1145mW/1137mW
[INFO] [1726750315.485951, 1710419126.529095]: timestamp 1726750315.00 VDD_IN 5201mW/5508mW VDD_CPU_GPU_CV 1105mW/1451mW VDD_SOC 1145mW/1138mW
[INFO] [1726750316.503301, 1710419126.529095]: timestamp 1726750316.00 VDD_IN 4956mW/5479mW VDD_CPU_GPU_CV 901mW/1422mW VDD_SOC 1104mW/1136mW
[INFO] [1726750317.517798, 1710419126.529095]: timestamp 1726750317.00 VDD_IN 4751mW/5443mW VDD_CPU_GPU_CV 778mW/1390mW VDD_SOC 1104mW/1134mW
[INFO] [1726750318.552399, 1710419126.529095]: timestamp 1726750318.00 VDD_IN 5160mW/5429mW VDD_CPU_GPU_CV 1105mW/1376mW VDD_SOC 1145mW/1135mW
[INFO] [1726750319.565873, 1710419126.529095]: timestamp 1726750319.00 VDD_IN 4956mW/5408mW VDD_CPU_GPU_CV 901mW/1354mW VDD_SOC 1145mW/1135mW
[INFO] [1726750320.575954, 1710419126.529095]: timestamp 1726750320.00 VDD_IN 5201mW/5399mW VDD_CPU_GPU_CV 1105mW/1343mW VDD_SOC 1145mW/1136mW
[INFO] [1726750321.598258, 1710419126.529095]: timestamp 1726750321.00 VDD_IN 4956mW/5380mW VDD_CPU_GPU_CV 901mW/1325mW VDD_SOC 1145mW/1136mW
[INFO] [1726750322.616768, 1710419126.529095]: timestamp 1726750322.00 VDD_IN 4915mW/5361mW VDD_CPU_GPU_CV 860mW/1306mW VDD_SOC 1104mW/1135mW
[INFO] [1726750323.637652, 1710419126.529095]: timestamp 1726750323.00 VDD_IN 4874mW/5343mW VDD_CPU_GPU_CV 860mW/1289mW VDD_SOC 1104mW/1133mW
[INFO] [1726750324.653409, 1710419126.529095]: timestamp 1726750324.00 VDD_IN 4915mW/5327mW VDD_CPU_GPU_CV 860mW/1273mW VDD_SOC 1104mW/1132mW
[INFO] [1726750325.677204, 1710419126.529095]: timestamp 1726750325.00 VDD_IN 4915mW/5312mW VDD_CPU_GPU_CV 860mW/1259mW VDD_SOC 1145mW/1133mW
[INFO] [1726750326.696056, 1710419126.529095]: timestamp 1726750326.00 VDD_IN 4833mW/5296mW VDD_CPU_GPU_CV 819mW/1243mW VDD_SOC 1104mW/1132mW
[INFO] [1726750327.713851, 1710419126.529095]: timestamp 1726750327.00 VDD_IN 4874mW/5281mW VDD_CPU_GPU_CV 819mW/1229mW VDD_SOC 1104mW/1131mW
[INFO] [1726750328.729279, 1710419126.529095]: timestamp 1726750328.00 VDD_IN 4915mW/5270mW VDD_CPU_GPU_CV 860mW/1217mW VDD_SOC 1145mW/1131mW
[INFO] [1726750329.744954, 1710419126.529095]: timestamp 1726750329.00 VDD_IN 4792mW/5255mW VDD_CPU_GPU_CV 778mW/1204mW VDD_SOC 1104mW/1130mW
[INFO] [1726750330.759893, 1710419126.529095]: timestamp 1726750330.00 VDD_IN 4751mW/5239mW VDD_CPU_GPU_CV 737mW/1189mW VDD_SOC 1104mW/1130mW
