[INFO] [1726751184.474195, 0.000000]: Start power_monitor
[INFO] [1726751185.600459, 1710419133.092258]: timestamp 1726751185.00 VDD_IN 5816mW/5816mW VDD_CPU_GPU_CV 1802mW/1802mW VDD_SOC 1104mW/1104mW
[INFO] [1726751186.610796, 1710419134.108348]: timestamp 1726751186.00 VDD_IN 4874mW/5345mW VDD_CPU_GPU_CV 942mW/1372mW VDD_SOC 1104mW/1104mW
[INFO] [1726751187.657630, 1710419135.156996]: timestamp 1726751187.00 VDD_IN 6471mW/5720mW VDD_CPU_GPU_CV 2457mW/1733mW VDD_SOC 1104mW/1104mW
[INFO] [1726751188.668498, 1710419136.170705]: timestamp 1726751188.00 VDD_IN 5898mW/5764mW VDD_CPU_GPU_CV 1925mW/1781mW VDD_SOC 1145mW/1114mW
[INFO] [1726751189.686176, 1710419137.190863]: timestamp 1726751189.00 VDD_IN 5529mW/5717mW VDD_CPU_GPU_CV 1474mW/1720mW VDD_SOC 1145mW/1120mW
[INFO] [1726751190.702951, 1710419138.205334]: timestamp 1726751190.00 VDD_IN 5079mW/5611mW VDD_CPU_GPU_CV 1146mW/1624mW VDD_SOC 1104mW/1117mW
[INFO] [1726751191.743804, 1710419139.247659]: timestamp 1726751191.00 VDD_IN 6686mW/5764mW VDD_CPU_GPU_CV 2785mW/1790mW VDD_SOC 1105mW/1115mW
[INFO] [1726751192.764690, 1710419140.262651]: timestamp 1726751192.00 VDD_IN 5570mW/5740mW VDD_CPU_GPU_CV 1638mW/1771mW VDD_SOC 1104mW/1114mW
[INFO] [1726751193.794115, 1710419141.295197]: timestamp 1726751193.00 VDD_IN 4792mW/5635mW VDD_CPU_GPU_CV 860mW/1669mW VDD_SOC 1104mW/1113mW
[INFO] [1726751194.813309, 1710419142.318465]: timestamp 1726751194.00 VDD_IN 4546mW/5526mW VDD_CPU_GPU_CV 655mW/1568mW VDD_SOC 1104mW/1112mW
[INFO] [1726751195.832628, 1710419143.329485]: timestamp 1726751195.00 VDD_IN 4546mW/5437mW VDD_CPU_GPU_CV 655mW/1485mW VDD_SOC 1063mW/1107mW
[INFO] [1726751196.851365, 1710419144.353283]: timestamp 1726751196.00 VDD_IN 4751mW/5379mW VDD_CPU_GPU_CV 819mW/1429mW VDD_SOC 1104mW/1107mW
[INFO] [1726751197.875169, 1710419145.377936]: timestamp 1726751197.00 VDD_IN 4792mW/5334mW VDD_CPU_GPU_CV 860mW/1386mW VDD_SOC 1104mW/1107mW
[INFO] [1726751198.893087, 1710419145.681579]: timestamp 1726751198.00 VDD_IN 5570mW/5351mW VDD_CPU_GPU_CV 1515mW/1395mW VDD_SOC 1145mW/1109mW
[INFO] [1726751199.912247, 1710419145.681579]: timestamp 1726751199.00 VDD_IN 4833mW/5316mW VDD_CPU_GPU_CV 901mW/1362mW VDD_SOC 1104mW/1109mW
[INFO] [1726751200.929780, 1710419145.681579]: timestamp 1726751200.00 VDD_IN 4710mW/5278mW VDD_CPU_GPU_CV 778mW/1325mW VDD_SOC 1104mW/1109mW
[INFO] [1726751201.948610, 1710419145.681579]: timestamp 1726751201.00 VDD_IN 4710mW/5245mW VDD_CPU_GPU_CV 778mW/1293mW VDD_SOC 1104mW/1108mW
[INFO] [1726751202.966326, 1710419145.681579]: timestamp 1726751202.00 VDD_IN 4751mW/5218mW VDD_CPU_GPU_CV 819mW/1267mW VDD_SOC 1104mW/1108mW
