[INFO] [1726749373.193730, 0.000000]: Start power_monitor
[INFO] [1726749374.783539, 1710419131.540984]: timestamp 1726749374.00 VDD_IN 5283mW/5283mW VDD_CPU_GPU_CV 1269mW/1269mW VDD_SOC 1104mW/1104mW
[INFO] [1726749375.791653, 1710419132.554584]: timestamp 1726749375.00 VDD_IN 5038mW/5160mW VDD_CPU_GPU_CV 1064mW/1166mW VDD_SOC 1104mW/1104mW
[INFO] [1726749376.839616, 1710419133.593607]: timestamp 1726749376.00 VDD_IN 6103mW/5474mW VDD_CPU_GPU_CV 2048mW/1460mW VDD_SOC 1145mW/1117mW
[INFO] [1726749377.996674, 1710419134.758487]: timestamp 1726749377.00 VDD_IN 6635mW/5764mW VDD_CPU_GPU_CV 2580mW/1740mW VDD_SOC 1146mW/1124mW
[INFO] [1726749379.003862, 1710419135.762437]: timestamp 1726749378.00 VDD_IN 5898mW/5791mW VDD_CPU_GPU_CV 1925mW/1777mW VDD_SOC 1145mW/1128mW
[INFO] [1726749380.011904, 1710419136.768068]: timestamp 1726749379.00 VDD_IN 4956mW/5652mW VDD_CPU_GPU_CV 983mW/1644mW VDD_SOC 1104mW/1124mW
[INFO] [1726749381.019415, 1710419137.777524]: timestamp 1726749380.00 VDD_IN 6430mW/5763mW VDD_CPU_GPU_CV 2457mW/1760mW VDD_SOC 1105mW/1121mW
[INFO] [1726749382.028315, 1710419138.783548]: timestamp 1726749381.00 VDD_IN 5201mW/5693mW VDD_CPU_GPU_CV 1269mW/1699mW VDD_SOC 1104mW/1119mW
[INFO] [1726749383.043903, 1710419139.800695]: timestamp 1726749382.00 VDD_IN 4833mW/5597mW VDD_CPU_GPU_CV 901mW/1610mW VDD_SOC 1104mW/1117mW
[INFO] [1726749384.051356, 1710419140.813443]: timestamp 1726749383.00 VDD_IN 4628mW/5500mW VDD_CPU_GPU_CV 696mW/1519mW VDD_SOC 1104mW/1116mW
[INFO] [1726749385.058687, 1710419141.817396]: timestamp 1726749384.00 VDD_IN 4628mW/5421mW VDD_CPU_GPU_CV 696mW/1444mW VDD_SOC 1104mW/1115mW
[INFO] [1726749386.066386, 1710419142.827218]: timestamp 1726749386.00 VDD_IN 4546mW/5348mW VDD_CPU_GPU_CV 655mW/1378mW VDD_SOC 1104mW/1114mW
[INFO] [1726749387.073808, 1710419143.834151]: timestamp 1726749387.00 VDD_IN 4915mW/5314mW VDD_CPU_GPU_CV 942mW/1345mW VDD_SOC 1104mW/1113mW
[INFO] [1726749388.080662, 1710419144.280611]: timestamp 1726749388.00 VDD_IN 5693mW/5341mW VDD_CPU_GPU_CV 1638mW/1365mW VDD_SOC 1145mW/1115mW
[INFO] [1726749389.087286, 1710419144.280611]: timestamp 1726749389.00 VDD_IN 5038mW/5321mW VDD_CPU_GPU_CV 1064mW/1345mW VDD_SOC 1104mW/1115mW
[INFO] [1726749390.096776, 1710419144.280611]: timestamp 1726749390.00 VDD_IN 4915mW/5296mW VDD_CPU_GPU_CV 942mW/1320mW VDD_SOC 1104mW/1114mW
[INFO] [1726749391.116308, 1710419144.280611]: timestamp 1726749391.00 VDD_IN 4833mW/5269mW VDD_CPU_GPU_CV 860mW/1293mW VDD_SOC 1104mW/1113mW
[INFO] [1726749392.130937, 1710419144.280611]: timestamp 1726749392.00 VDD_IN 4792mW/5242mW VDD_CPU_GPU_CV 819mW/1267mW VDD_SOC 1104mW/1113mW
[INFO] [1726749393.148801, 1710419144.280611]: timestamp 1726749393.00 VDD_IN 4997mW/5229mW VDD_CPU_GPU_CV 1024mW/1254mW VDD_SOC 1104mW/1112mW
[INFO] [1726749394.167782, 1710419144.280611]: timestamp 1726749394.00 VDD_IN 5120mW/5224mW VDD_CPU_GPU_CV 1187mW/1250mW VDD_SOC 1104mW/1112mW
[INFO] [1726749395.187262, 1710419144.280611]: timestamp 1726749395.00 VDD_IN 4710mW/5199mW VDD_CPU_GPU_CV 778mW/1228mW VDD_SOC 1104mW/1111mW
[INFO] [1726749396.206184, 1710419144.280611]: timestamp 1726749396.00 VDD_IN 4669mW/5175mW VDD_CPU_GPU_CV 778mW/1207mW VDD_SOC 1104mW/1111mW
[INFO] [1726749397.222907, 1710419144.280611]: timestamp 1726749397.00 VDD_IN 4669mW/5153mW VDD_CPU_GPU_CV 737mW/1187mW VDD_SOC 1104mW/1111mW
[INFO] [1726749398.241241, 1710419144.280611]: timestamp 1726749398.00 VDD_IN 4669mW/5133mW VDD_CPU_GPU_CV 737mW/1168mW VDD_SOC 1104mW/1110mW
