[INFO] [1726752654.164667, 0.000000]: Start power_monitor
[INFO] [1726752655.625959, 1710419141.607465]: timestamp 1726752655.00 VDD_IN 6225mW/6225mW VDD_CPU_GPU_CV 2048mW/2048mW VDD_SOC 1185mW/1185mW
[INFO] [1726752656.638436, 1710419142.625175]: timestamp 1726752656.00 VDD_IN 5529mW/5877mW VDD_CPU_GPU_CV 1392mW/1720mW VDD_SOC 1145mW/1165mW
[INFO] [1726752657.658128, 1710419143.623241]: timestamp 1726752657.00 VDD_IN 6635mW/6129mW VDD_CPU_GPU_CV 2457mW/1965mW VDD_SOC 1145mW/1158mW
[INFO] [1726752658.709726, 1710419144.690007]: timestamp 1726752658.00 VDD_IN 6717mW/6276mW VDD_CPU_GPU_CV 2580mW/2119mW VDD_SOC 1145mW/1155mW
[INFO] [1726752659.716391, 1710419145.702539]: timestamp 1726752659.00 VDD_IN 5857mW/6192mW VDD_CPU_GPU_CV 1720mW/2039mW VDD_SOC 1145mW/1153mW
[INFO] [1726752660.725730, 1710419146.721030]: timestamp 1726752660.00 VDD_IN 5365mW/6054mW VDD_CPU_GPU_CV 1269mW/1911mW VDD_SOC 1145mW/1151mW
[INFO] [1726752661.735171, 1710419147.718560]: timestamp 1726752661.00 VDD_IN 5980mW/6044mW VDD_CPU_GPU_CV 1884mW/1907mW VDD_SOC 1145mW/1150mW
[INFO] [1726752662.822625, 1710419123.945465]: timestamp 1726752662.00 VDD_IN 6184mW/6061mW VDD_CPU_GPU_CV 2048mW/1924mW VDD_SOC 1145mW/1150mW
[INFO] [1726752663.831859, 1710419124.959037]: timestamp 1726752663.00 VDD_IN 5693mW/6020mW VDD_CPU_GPU_CV 1556mW/1883mW VDD_SOC 1145mW/1149mW
[INFO] [1726752664.838449, 1710419125.959511]: timestamp 1726752664.00 VDD_IN 5160mW/5934mW VDD_CPU_GPU_CV 1105mW/1805mW VDD_SOC 1145mW/1149mW
[INFO] [1726752665.847774, 1710419126.972105]: timestamp 1726752665.00 VDD_IN 5201mW/5867mW VDD_CPU_GPU_CV 1105mW/1742mW VDD_SOC 1145mW/1148mW
[INFO] [1726752666.854986, 1710419127.979117]: timestamp 1726752666.00 VDD_IN 5038mW/5798mW VDD_CPU_GPU_CV 983mW/1678mW VDD_SOC 1145mW/1148mW
[INFO] [1726752667.863396, 1710419128.984281]: timestamp 1726752667.00 VDD_IN 4997mW/5737mW VDD_CPU_GPU_CV 942mW/1622mW VDD_SOC 1145mW/1148mW
[INFO] [1726752668.869866, 1710419129.827291]: timestamp 1726752668.00 VDD_IN 5488mW/5719mW VDD_CPU_GPU_CV 1310mW/1599mW VDD_SOC 1145mW/1147mW
[INFO] [1726752669.878504, 1710419129.827291]: timestamp 1726752669.00 VDD_IN 5611mW/5712mW VDD_CPU_GPU_CV 1474mW/1591mW VDD_SOC 1145mW/1147mW
[INFO] [1726752670.892826, 1710419129.827291]: timestamp 1726752670.00 VDD_IN 4587mW/5641mW VDD_CPU_GPU_CV 614mW/1530mW VDD_SOC 1104mW/1144mW
[INFO] [1726752671.910909, 1710419129.827291]: timestamp 1726752671.00 VDD_IN 4300mW/5562mW VDD_CPU_GPU_CV 408mW/1464mW VDD_SOC 1104mW/1142mW
[INFO] [1726752672.929296, 1710419129.827291]: timestamp 1726752672.00 VDD_IN 6184mW/5597mW VDD_CPU_GPU_CV 1761mW/1480mW VDD_SOC 1267mW/1149mW
[INFO] [1726752673.947451, 1710419129.827291]: timestamp 1726752673.00 VDD_IN 5447mW/5589mW VDD_CPU_GPU_CV 1310mW/1471mW VDD_SOC 1145mW/1149mW
[INFO] [1726752674.974051, 1710419129.827291]: timestamp 1726752674.00 VDD_IN 5816mW/5600mW VDD_CPU_GPU_CV 1679mW/1482mW VDD_SOC 1145mW/1149mW
[INFO] [1726752675.994539, 1710419129.827291]: timestamp 1726752675.00 VDD_IN 5693mW/5605mW VDD_CPU_GPU_CV 1556mW/1485mW VDD_SOC 1145mW/1148mW
[INFO] [1726752677.011154, 1710419129.827291]: timestamp 1726752677.00 VDD_IN 5324mW/5592mW VDD_CPU_GPU_CV 1187mW/1472mW VDD_SOC 1145mW/1148mW
[INFO] [1726752678.027181, 1710419129.827291]: timestamp 1726752678.00 VDD_IN 5120mW/5571mW VDD_CPU_GPU_CV 1024mW/1452mW VDD_SOC 1145mW/1148mW
[INFO] [1726752679.041739, 1710419129.827291]: timestamp 1726752679.00 VDD_IN 5160mW/5554mW VDD_CPU_GPU_CV 1064mW/1436mW VDD_SOC 1145mW/1148mW
[INFO] [1726752680.056606, 1710419129.827291]: timestamp 1726752680.00 VDD_IN 5160mW/5538mW VDD_CPU_GPU_CV 1064mW/1421mW VDD_SOC 1145mW/1148mW
[INFO] [1726752681.072049, 1710419129.827291]: timestamp 1726752681.00 VDD_IN 5160mW/5524mW VDD_CPU_GPU_CV 1064mW/1407mW VDD_SOC 1145mW/1148mW
[INFO] [1726752682.086791, 1710419129.827291]: timestamp 1726752682.00 VDD_IN 5120mW/5509mW VDD_CPU_GPU_CV 1024mW/1393mW VDD_SOC 1145mW/1147mW
[INFO] [1726752683.180581, 1710419129.827291]: timestamp 1726752683.00 VDD_IN 5120mW/5495mW VDD_CPU_GPU_CV 1024mW/1380mW VDD_SOC 1145mW/1147mW
[INFO] [1726752684.186672, 1710419129.827291]: timestamp 1726752684.00 VDD_IN 5242mW/5486mW VDD_CPU_GPU_CV 1146mW/1372mW VDD_SOC 1145mW/1147mW
[INFO] [1726752685.197769, 1710419129.827291]: timestamp 1726752685.00 VDD_IN 5898mW/5500mW VDD_CPU_GPU_CV 1720mW/1383mW VDD_SOC 1145mW/1147mW
[INFO] [1726752686.210682, 1710419129.827291]: timestamp 1726752686.00 VDD_IN 5201mW/5490mW VDD_CPU_GPU_CV 1105mW/1374mW VDD_SOC 1145mW/1147mW
[INFO] [1726752687.218366, 1710419129.827291]: timestamp 1726752687.00 VDD_IN 5283mW/5484mW VDD_CPU_GPU_CV 1187mW/1369mW VDD_SOC 1145mW/1147mW
[INFO] [1726752688.225536, 1710419129.827291]: timestamp 1726752688.00 VDD_IN 5242mW/5476mW VDD_CPU_GPU_CV 1105mW/1361mW VDD_SOC 1145mW/1147mW
[INFO] [1726752689.232836, 1710419129.827291]: timestamp 1726752689.00 VDD_IN 5201mW/5468mW VDD_CPU_GPU_CV 1064mW/1352mW VDD_SOC 1145mW/1147mW
[INFO] [1726752690.239734, 1710419129.827291]: timestamp 1726752690.00 VDD_IN 5120mW/5458mW VDD_CPU_GPU_CV 1024mW/1342mW VDD_SOC 1145mW/1147mW
[INFO] [1726752691.246797, 1710419129.827291]: timestamp 1726752691.00 VDD_IN 5201mW/5451mW VDD_CPU_GPU_CV 1064mW/1335mW VDD_SOC 1145mW/1147mW
[INFO] [1726752692.254465, 1710419129.827291]: timestamp 1726752692.00 VDD_IN 5160mW/5443mW VDD_CPU_GPU_CV 1064mW/1327mW VDD_SOC 1145mW/1147mW
[INFO] [1726752693.269053, 1710419129.827291]: timestamp 1726752693.00 VDD_IN 4956mW/5430mW VDD_CPU_GPU_CV 860mW/1315mW VDD_SOC 1145mW/1147mW
[INFO] [1726752694.292438, 1710419129.827291]: timestamp 1726752694.00 VDD_IN 4751mW/5413mW VDD_CPU_GPU_CV 737mW/1300mW VDD_SOC 1145mW/1147mW
[INFO] [1726752695.305587, 1710419129.827291]: timestamp 1726752695.00 VDD_IN 5283mW/5410mW VDD_CPU_GPU_CV 1228mW/1298mW VDD_SOC 1145mW/1147mW
[INFO] [1726752696.323303, 1710419129.827291]: timestamp 1726752696.00 VDD_IN 4874mW/5397mW VDD_CPU_GPU_CV 819mW/1287mW VDD_SOC 1145mW/1146mW
[INFO] [1726752697.341808, 1710419129.827291]: timestamp 1726752697.00 VDD_IN 4833mW/5383mW VDD_CPU_GPU_CV 778mW/1275mW VDD_SOC 1104mW/1145mW
[INFO] [1726752698.357284, 1710419129.827291]: timestamp 1726752698.00 VDD_IN 4874mW/5371mW VDD_CPU_GPU_CV 819mW/1264mW VDD_SOC 1104mW/1144mW
