[INFO] [1726752050.365919, 0.000000]: Start power_monitor
[INFO] [1726752051.627821, 1710419137.880007]: timestamp 1726752051.00 VDD_IN 5529mW/5529mW VDD_CPU_GPU_CV 1556mW/1556mW VDD_SOC 1145mW/1145mW
[INFO] [1726752052.634813, 1710419138.894111]: timestamp 1726752052.00 VDD_IN 5283mW/5406mW VDD_CPU_GPU_CV 1228mW/1392mW VDD_SOC 1145mW/1145mW
[INFO] [1726752053.659971, 1710419139.909500]: timestamp 1726752053.00 VDD_IN 6348mW/5720mW VDD_CPU_GPU_CV 2293mW/1692mW VDD_SOC 1145mW/1145mW
[INFO] [1726752054.684334, 1710419140.936714]: timestamp 1726752054.00 VDD_IN 6933mW/6023mW VDD_CPU_GPU_CV 2867mW/1986mW VDD_SOC 1146mW/1145mW
[INFO] [1726752055.690989, 1710419141.947490]: timestamp 1726752055.00 VDD_IN 6144mW/6047mW VDD_CPU_GPU_CV 2088mW/2006mW VDD_SOC 1145mW/1145mW
[INFO] [1726752056.705901, 1710419142.967172]: timestamp 1726752056.00 VDD_IN 5038mW/5879mW VDD_CPU_GPU_CV 1064mW/1849mW VDD_SOC 1145mW/1145mW
[INFO] [1726752057.723712, 1710419143.974300]: timestamp 1726752057.00 VDD_IN 6307mW/5940mW VDD_CPU_GPU_CV 2293mW/1912mW VDD_SOC 1145mW/1145mW
[INFO] [1726752058.748169, 1710419145.000227]: timestamp 1726752058.00 VDD_IN 5980mW/5945mW VDD_CPU_GPU_CV 1966mW/1919mW VDD_SOC 1145mW/1145mW
[INFO] [1726752059.774685, 1710419146.029110]: timestamp 1726752059.00 VDD_IN 5406mW/5885mW VDD_CPU_GPU_CV 1392mW/1860mW VDD_SOC 1145mW/1145mW
[INFO] [1726752060.794428, 1710419147.055334]: timestamp 1726752060.00 VDD_IN 4833mW/5780mW VDD_CPU_GPU_CV 860mW/1760mW VDD_SOC 1104mW/1141mW
[INFO] [1726752061.813372, 1710419148.069579]: timestamp 1726752061.00 VDD_IN 4751mW/5686mW VDD_CPU_GPU_CV 778mW/1671mW VDD_SOC 1104mW/1137mW
[INFO] [1726752062.830078, 1710419124.218114]: timestamp 1726752062.00 VDD_IN 4915mW/5622mW VDD_CPU_GPU_CV 942mW/1610mW VDD_SOC 1104mW/1134mW
[INFO] [1726752064.003456, 1710419125.396912]: timestamp 1726752063.00 VDD_IN 4874mW/5564mW VDD_CPU_GPU_CV 860mW/1552mW VDD_SOC 1145mW/1135mW
[INFO] [1726752065.017102, 1710419126.006386]: timestamp 1726752064.00 VDD_IN 5324mW/5547mW VDD_CPU_GPU_CV 1269mW/1532mW VDD_SOC 1145mW/1136mW
[INFO] [1726752066.044089, 1710419126.006386]: timestamp 1726752065.00 VDD_IN 5242mW/5527mW VDD_CPU_GPU_CV 1269mW/1515mW VDD_SOC 1145mW/1136mW
[INFO] [1726752067.051595, 1710419126.006386]: timestamp 1726752066.00 VDD_IN 4382mW/5455mW VDD_CPU_GPU_CV 491mW/1451mW VDD_SOC 1104mW/1134mW
[INFO] [1726752068.156548, 1710419126.006386]: timestamp 1726752067.00 VDD_IN 4792mW/5416mW VDD_CPU_GPU_CV 819mW/1413mW VDD_SOC 1104mW/1133mW
[INFO] [1726752069.165273, 1710419126.006386]: timestamp 1726752068.00 VDD_IN 4956mW/5390mW VDD_CPU_GPU_CV 983mW/1389mW VDD_SOC 1104mW/1131mW
