[INFO] [1726751621.582129, 0.000000]: Start power_monitor
[INFO] [1726751623.303753, 1710419124.951387]: timestamp 1726751623.00 VDD_IN 5283mW/5283mW VDD_CPU_GPU_CV 1269mW/1269mW VDD_SOC 1145mW/1145mW
[INFO] [1726751624.318435, 1710419125.973667]: timestamp 1726751624.00 VDD_IN 5365mW/5324mW VDD_CPU_GPU_CV 1310mW/1289mW VDD_SOC 1145mW/1145mW
[INFO] [1726751625.324457, 1710419126.980918]: timestamp 1726751625.00 VDD_IN 6348mW/5665mW VDD_CPU_GPU_CV 2293mW/1624mW VDD_SOC 1185mW/1158mW
[INFO] [1726751626.332389, 1710419127.979590]: timestamp 1726751626.00 VDD_IN 6933mW/5982mW VDD_CPU_GPU_CV 2867mW/1934mW VDD_SOC 1146mW/1155mW
[INFO] [1726751627.339441, 1710419128.991668]: timestamp 1726751627.00 VDD_IN 5980mW/5981mW VDD_CPU_GPU_CV 1925mW/1932mW VDD_SOC 1185mW/1161mW
[INFO] [1726751628.352176, 1710419130.007431]: timestamp 1726751628.00 VDD_IN 5079mW/5831mW VDD_CPU_GPU_CV 1064mW/1788mW VDD_SOC 1145mW/1158mW
[INFO] [1726751629.362304, 1710419131.017681]: timestamp 1726751629.00 VDD_IN 6307mW/5899mW VDD_CPU_GPU_CV 2293mW/1860mW VDD_SOC 1145mW/1156mW
[INFO] [1726751630.369286, 1710419132.016402]: timestamp 1726751630.00 VDD_IN 6840mW/6016mW VDD_CPU_GPU_CV 2785mW/1975mW VDD_SOC 1146mW/1155mW
[INFO] [1726751631.375981, 1710419133.028263]: timestamp 1726751631.00 VDD_IN 5611mW/5971mW VDD_CPU_GPU_CV 1638mW/1938mW VDD_SOC 1145mW/1154mW
[INFO] [1726751632.384241, 1710419134.033763]: timestamp 1726751632.00 VDD_IN 4997mW/5874mW VDD_CPU_GPU_CV 983mW/1842mW VDD_SOC 1145mW/1153mW
[INFO] [1726751633.391469, 1710419135.046248]: timestamp 1726751633.00 VDD_IN 4792mW/5775mW VDD_CPU_GPU_CV 819mW/1749mW VDD_SOC 1104mW/1148mW
