[INFO] [1726754889.152102, 0.000000]: Start power_monitor
[INFO] [1726754890.582698, 1710419133.579655]: timestamp 1726754890.00 VDD_IN 6021mW/6021mW VDD_CPU_GPU_CV 1884mW/1884mW VDD_SOC 1145mW/1145mW
[INFO] [1726754891.595408, 1710419134.593311]: timestamp 1726754891.00 VDD_IN 5201mW/5611mW VDD_CPU_GPU_CV 1146mW/1515mW VDD_SOC 1145mW/1145mW
[INFO] [1726754892.601915, 1710419135.600138]: timestamp 1726754892.00 VDD_IN 5447mW/5556mW VDD_CPU_GPU_CV 1310mW/1446mW VDD_SOC 1145mW/1145mW
[INFO] [1726754893.660253, 1710419136.651592]: timestamp 1726754893.00 VDD_IN 6512mW/5795mW VDD_CPU_GPU_CV 2375mW/1678mW VDD_SOC 1145mW/1145mW
[INFO] [1726754894.668711, 1710419137.664622]: timestamp 1726754894.00 VDD_IN 6225mW/5881mW VDD_CPU_GPU_CV 2129mW/1768mW VDD_SOC 1145mW/1145mW
[INFO] [1726754895.675338, 1710419138.670451]: timestamp 1726754895.00 VDD_IN 7384mW/6131mW VDD_CPU_GPU_CV 2867mW/1951mW VDD_SOC 1308mW/1172mW
[INFO] [1726754896.681715, 1710419139.686446]: timestamp 1726754896.00 VDD_IN 10707mW/6785mW VDD_CPU_GPU_CV 5201mW/2416mW VDD_SOC 1597mW/1232mW
[INFO] [1726754897.692208, 1710419140.686714]: timestamp 1726754897.00 VDD_IN 11896mW/7424mW VDD_CPU_GPU_CV 6225mW/2892mW VDD_SOC 1679mW/1288mW
[INFO] [1726754898.699602, 1710419141.701518]: timestamp 1726754898.00 VDD_IN 11855mW/7916mW VDD_CPU_GPU_CV 6471mW/3289mW VDD_SOC 1556mW/1318mW
[INFO] [1726754899.708063, 1710419142.706734]: timestamp 1726754899.00 VDD_IN 11158mW/8240mW VDD_CPU_GPU_CV 5570mW/3517mW VDD_SOC 1638mW/1350mW
[INFO] [1726754900.715173, 1710419143.711951]: timestamp 1726754900.00 VDD_IN 10625mW/8457mW VDD_CPU_GPU_CV 5038mW/3656mW VDD_SOC 1638mW/1376mW
[INFO] [1726754901.729993, 1710419144.725273]: timestamp 1726754901.00 VDD_IN 10625mW/8638mW VDD_CPU_GPU_CV 4874mW/3757mW VDD_SOC 1638mW/1398mW
[INFO] [1726754902.754437, 1710419145.758195]: timestamp 1726754902.00 VDD_IN 10543mW/8784mW VDD_CPU_GPU_CV 4956mW/3849mW VDD_SOC 1638mW/1416mW
[INFO] [1726754903.772467, 1710419146.770295]: timestamp 1726754903.00 VDD_IN 10420mW/8901mW VDD_CPU_GPU_CV 4833mW/3919mW VDD_SOC 1638mW/1432mW
[INFO] [1726754904.790714, 1710419147.794166]: timestamp 1726754904.00 VDD_IN 9681mW/8953mW VDD_CPU_GPU_CV 4218mW/3939mW VDD_SOC 1597mW/1443mW
[INFO] [1726754905.806207, 1710419148.072947]: timestamp 1726754905.00 VDD_IN 11896mW/9137mW VDD_CPU_GPU_CV 6144mW/4077mW VDD_SOC 1679mW/1458mW
[INFO] [1726754906.827103, 1710419148.072947]: timestamp 1726754906.00 VDD_IN 10502mW/9217mW VDD_CPU_GPU_CV 4833mW/4122mW VDD_SOC 1679mW/1471mW
[INFO] [1726754907.848255, 1710419148.072947]: timestamp 1726754907.00 VDD_IN 10461mW/9286mW VDD_CPU_GPU_CV 4792mW/4159mW VDD_SOC 1679mW/1482mW
[INFO] [1726754908.866677, 1710419148.072947]: timestamp 1726754908.00 VDD_IN 10338mW/9341mW VDD_CPU_GPU_CV 4710mW/4188mW VDD_SOC 1638mW/1490mW
[INFO] [1726754909.885147, 1710419148.072947]: timestamp 1726754909.00 VDD_IN 9476mW/9348mW VDD_CPU_GPU_CV 4096mW/4183mW VDD_SOC 1556mW/1494mW
[INFO] [1726754910.903946, 1710419148.072947]: timestamp 1726754910.00 VDD_IN 10461mW/9401mW VDD_CPU_GPU_CV 4792mW/4212mW VDD_SOC 1638mW/1501mW
[INFO] [1726754911.921092, 1710419148.072947]: timestamp 1726754911.00 VDD_IN 10584mW/9455mW VDD_CPU_GPU_CV 4915mW/4244mW VDD_SOC 1679mW/1509mW
[INFO] [1726754912.942585, 1710419148.072947]: timestamp 1726754912.00 VDD_IN 10543mW/9502mW VDD_CPU_GPU_CV 4874mW/4271mW VDD_SOC 1679mW/1516mW
[INFO] [1726754913.961260, 1710419148.072947]: timestamp 1726754913.00 VDD_IN 10625mW/9549mW VDD_CPU_GPU_CV 4915mW/4298mW VDD_SOC 1679mW/1523mW
[INFO] [1726754914.979793, 1710419148.072947]: timestamp 1726754914.00 VDD_IN 9312mW/9539mW VDD_CPU_GPU_CV 3973mW/4285mW VDD_SOC 1556mW/1524mW
[INFO] [1726754915.997069, 1710419148.072947]: timestamp 1726754915.00 VDD_IN 10543mW/9578mW VDD_CPU_GPU_CV 4956mW/4311mW VDD_SOC 1638mW/1528mW
[INFO] [1726754917.012145, 1710419148.072947]: timestamp 1726754917.00 VDD_IN 10543mW/9614mW VDD_CPU_GPU_CV 4915mW/4333mW VDD_SOC 1638mW/1532mW
[INFO] [1726754918.027654, 1710419148.072947]: timestamp 1726754918.00 VDD_IN 10789mW/9656mW VDD_CPU_GPU_CV 5120mW/4361mW VDD_SOC 1679mW/1538mW
[INFO] [1726754919.042463, 1710419148.072947]: timestamp 1726754919.00 VDD_IN 10584mW/9688mW VDD_CPU_GPU_CV 4915mW/4380mW VDD_SOC 1679mW/1543mW
[INFO] [1726754920.060658, 1710419148.072947]: timestamp 1726754920.00 VDD_IN 10009mW/9698mW VDD_CPU_GPU_CV 4505mW/4385mW VDD_SOC 1597mW/1544mW
[INFO] [1726754921.074668, 1710419148.072947]: timestamp 1726754921.00 VDD_IN 10379mW/9720mW VDD_CPU_GPU_CV 4751mW/4396mW VDD_SOC 1638mW/1547mW
[INFO] [1726754922.090636, 1710419148.072947]: timestamp 1726754922.00 VDD_IN 10625mW/9749mW VDD_CPU_GPU_CV 4915mW/4413mW VDD_SOC 1638mW/1550mW
