[INFO] [1726754392.889737, 0.000000]: Start power_monitor
[INFO] [1726754394.010259, 1710419131.155683]: timestamp 1726754393.00 VDD_IN 7753mW/7753mW VDD_CPU_GPU_CV 3153mW/3153mW VDD_SOC 1308mW/1308mW
[INFO] [1726754395.020534, 1710419132.159664]: timestamp 1726754395.00 VDD_IN 8040mW/7896mW VDD_CPU_GPU_CV 3317mW/3235mW VDD_SOC 1392mW/1350mW
[INFO] [1726754396.042290, 1710419133.188847]: timestamp 1726754396.00 VDD_IN 8574mW/8122mW VDD_CPU_GPU_CV 3973mW/3481mW VDD_SOC 1351mW/1350mW
[INFO] [1726754397.061502, 1710419134.212368]: timestamp 1726754397.00 VDD_IN 8163mW/8132mW VDD_CPU_GPU_CV 3604mW/3511mW VDD_SOC 1351mW/1350mW
[INFO] [1726754398.085147, 1710419135.234435]: timestamp 1726754398.00 VDD_IN 8327mW/8171mW VDD_CPU_GPU_CV 3645mW/3538mW VDD_SOC 1392mW/1358mW
[INFO] [1726754399.106122, 1710419136.260227]: timestamp 1726754399.00 VDD_IN 8327mW/8197mW VDD_CPU_GPU_CV 3522mW/3535mW VDD_SOC 1433mW/1371mW
[INFO] [1726754400.132104, 1710419137.288259]: timestamp 1726754400.00 VDD_IN 8532mW/8245mW VDD_CPU_GPU_CV 3973mW/3598mW VDD_SOC 1351mW/1368mW
[INFO] [1726754401.149710, 1710419138.307438]: timestamp 1726754401.00 VDD_IN 8327mW/8255mW VDD_CPU_GPU_CV 3604mW/3598mW VDD_SOC 1392mW/1371mW
[INFO] [1726754402.168065, 1710419139.326001]: timestamp 1726754402.00 VDD_IN 8163mW/8245mW VDD_CPU_GPU_CV 3440mW/3581mW VDD_SOC 1390mW/1373mW
[INFO] [1726754403.228264, 1710419140.377311]: timestamp 1726754403.00 VDD_IN 8286mW/8249mW VDD_CPU_GPU_CV 3645mW/3587mW VDD_SOC 1392mW/1375mW
[INFO] [1726754404.265531, 1710419141.415073]: timestamp 1726754404.00 VDD_IN 8204mW/8245mW VDD_CPU_GPU_CV 3440mW/3574mW VDD_SOC 1431mW/1380mW
[INFO] [1726754405.276078, 1710419142.432993]: timestamp 1726754405.00 VDD_IN 8327mW/8251mW VDD_CPU_GPU_CV 3686mW/3583mW VDD_SOC 1392mW/1381mW
