[INFO] [1726755761.564974, 0.000000]: Start power_monitor
[INFO] [1726755762.824926, 1710419128.087572]: timestamp 1726755762.00 VDD_IN 5283mW/5283mW VDD_CPU_GPU_CV 1310mW/1310mW VDD_SOC 1145mW/1145mW
[INFO] [1726755763.836072, 1710419129.101132]: timestamp 1726755763.00 VDD_IN 4997mW/5140mW VDD_CPU_GPU_CV 1024mW/1167mW VDD_SOC 1145mW/1145mW
[INFO] [1726755764.852897, 1710419130.109528]: timestamp 1726755764.00 VDD_IN 6512mW/5597mW VDD_CPU_GPU_CV 2498mW/1610mW VDD_SOC 1145mW/1145mW
[INFO] [1726755765.872335, 1710419131.129701]: timestamp 1726755765.00 VDD_IN 6892mW/5921mW VDD_CPU_GPU_CV 2867mW/1924mW VDD_SOC 1146mW/1145mW
[INFO] [1726755766.895261, 1710419132.160469]: timestamp 1726755766.00 VDD_IN 5488mW/5834mW VDD_CPU_GPU_CV 1474mW/1834mW VDD_SOC 1145mW/1145mW
[INFO] [1726755767.913475, 1710419133.173013]: timestamp 1726755767.00 VDD_IN 5652mW/5804mW VDD_CPU_GPU_CV 1515mW/1781mW VDD_SOC 1185mW/1151mW
[INFO] [1726755768.969144, 1710419134.228217]: timestamp 1726755768.00 VDD_IN 10420mW/6463mW VDD_CPU_GPU_CV 5283mW/2281mW VDD_SOC 1515mW/1203mW
[INFO] [1726755770.091197, 1710419135.356368]: timestamp 1726755769.00 VDD_IN 11281mW/7065mW VDD_CPU_GPU_CV 6062mW/2754mW VDD_SOC 1597mW/1252mW
[INFO] [1726755771.098811, 1710419136.360346]: timestamp 1726755770.00 VDD_IN 9968mW/7388mW VDD_CPU_GPU_CV 4669mW/2966mW VDD_SOC 1597mW/1291mW
[INFO] [1726755772.107954, 1710419137.367212]: timestamp 1726755772.00 VDD_IN 9968mW/7646mW VDD_CPU_GPU_CV 4628mW/3133mW VDD_SOC 1597mW/1321mW
[INFO] [1726755773.115193, 1710419138.380972]: timestamp 1726755773.00 VDD_IN 9394mW/7805mW VDD_CPU_GPU_CV 4177mW/3227mW VDD_SOC 1556mW/1343mW
[INFO] [1726755774.122661, 1710419139.389426]: timestamp 1726755774.00 VDD_IN 9763mW/7968mW VDD_CPU_GPU_CV 4382mW/3324mW VDD_SOC 1597mW/1364mW
[INFO] [1726755775.129572, 1710419140.395540]: timestamp 1726755775.00 VDD_IN 9927mW/8118mW VDD_CPU_GPU_CV 4628mW/3424mW VDD_SOC 1597mW/1382mW
[INFO] [1726755776.135288, 1710419141.399077]: timestamp 1726755776.00 VDD_IN 9845mW/8242mW VDD_CPU_GPU_CV 4546mW/3504mW VDD_SOC 1597mW/1397mW
[INFO] [1726755777.143435, 1710419141.661918]: timestamp 1726755777.00 VDD_IN 10666mW/8403mW VDD_CPU_GPU_CV 5242mW/3620mW VDD_SOC 1638mW/1413mW
[INFO] [1726755778.151972, 1710419141.661918]: timestamp 1726755778.00 VDD_IN 9681mW/8483mW VDD_CPU_GPU_CV 4382mW/3667mW VDD_SOC 1597mW/1424mW
[INFO] [1726755779.161523, 1710419141.661918]: timestamp 1726755779.00 VDD_IN 8779mW/8500mW VDD_CPU_GPU_CV 3645mW/3666mW VDD_SOC 1513mW/1430mW
[INFO] [1726755780.236479, 1710419141.661918]: timestamp 1726755780.00 VDD_IN 9271mW/8543mW VDD_CPU_GPU_CV 4014mW/3685mW VDD_SOC 1556mW/1437mW
[INFO] [1726755781.243273, 1710419141.661918]: timestamp 1726755781.00 VDD_IN 9353mW/8586mW VDD_CPU_GPU_CV 4055mW/3705mW VDD_SOC 1597mW/1445mW
[INFO] [1726755782.250862, 1710419141.661918]: timestamp 1726755782.00 VDD_IN 9599mW/8636mW VDD_CPU_GPU_CV 4300mW/3735mW VDD_SOC 1597mW/1453mW
[INFO] [1726755783.258137, 1710419141.661918]: timestamp 1726755783.00 VDD_IN 9476mW/8676mW VDD_CPU_GPU_CV 4177mW/3756mW VDD_SOC 1597mW/1459mW
[INFO] [1726755784.264443, 1710419141.661918]: timestamp 1726755784.00 VDD_IN 9148mW/8698mW VDD_CPU_GPU_CV 3932mW/3764mW VDD_SOC 1556mW/1464mW
[INFO] [1726755785.364168, 1710419141.661918]: timestamp 1726755785.00 VDD_IN 10091mW/8758mW VDD_CPU_GPU_CV 4874mW/3812mW VDD_SOC 1597mW/1470mW
[INFO] [1726755786.371240, 1710419141.661918]: timestamp 1726755786.00 VDD_IN 10173mW/8817mW VDD_CPU_GPU_CV 4792mW/3853mW VDD_SOC 1638mW/1477mW
[INFO] [1726755787.378232, 1710419141.661918]: timestamp 1726755787.00 VDD_IN 9640mW/8850mW VDD_CPU_GPU_CV 4341mW/3872mW VDD_SOC 1597mW/1481mW
[INFO] [1726755788.385913, 1710419141.661918]: timestamp 1726755788.00 VDD_IN 9435mW/8873mW VDD_CPU_GPU_CV 4136mW/3882mW VDD_SOC 1597mW/1486mW
[INFO] [1726755789.393486, 1710419141.661918]: timestamp 1726755789.00 VDD_IN 9968mW/8913mW VDD_CPU_GPU_CV 4669mW/3911mW VDD_SOC 1597mW/1490mW
[INFO] [1726755790.451842, 1710419141.661918]: timestamp 1726755790.00 VDD_IN 9271mW/8926mW VDD_CPU_GPU_CV 4014mW/3915mW VDD_SOC 1556mW/1492mW
[INFO] [1726755791.458841, 1710419141.661918]: timestamp 1726755791.00 VDD_IN 9558mW/8948mW VDD_CPU_GPU_CV 4177mW/3924mW VDD_SOC 1597mW/1496mW
