[INFO] [1726753971.636141, 0.000000]: Start power_monitor
[INFO] [1726753973.205857, 1710419145.543184]: timestamp 1726753973.00 VDD_IN 9189mW/9189mW VDD_CPU_GPU_CV 3809mW/3809mW VDD_SOC 1597mW/1597mW
[INFO] [1726753974.213383, 1710419146.558422]: timestamp 1726753974.00 VDD_IN 10871mW/10030mW VDD_CPU_GPU_CV 5406mW/4607mW VDD_SOC 1638mW/1617mW
[INFO] [1726753975.219724, 1710419147.565094]: timestamp 1726753975.00 VDD_IN 11650mW/10570mW VDD_CPU_GPU_CV 6225mW/5146mW VDD_SOC 1638mW/1624mW
[INFO] [1726753976.226198, 1710419148.567212]: timestamp 1726753976.00 VDD_IN 10707mW/10604mW VDD_CPU_GPU_CV 5201mW/5160mW VDD_SOC 1638mW/1627mW
[INFO] [1726753977.234380, 1710419124.707859]: timestamp 1726753977.00 VDD_IN 9640mW/10411mW VDD_CPU_GPU_CV 4259mW/4980mW VDD_SOC 1597mW/1621mW
[INFO] [1726753978.243738, 1710419125.714423]: timestamp 1726753978.00 VDD_IN 9886mW/10323mW VDD_CPU_GPU_CV 4423mW/4887mW VDD_SOC 1638mW/1624mW
[INFO] [1726753979.251184, 1710419126.721193]: timestamp 1726753979.00 VDD_IN 11568mW/10501mW VDD_CPU_GPU_CV 6144mW/5066mW VDD_SOC 1638mW/1626mW
[INFO] [1726753980.258133, 1710419127.728041]: timestamp 1726753980.00 VDD_IN 9722mW/10404mW VDD_CPU_GPU_CV 4341mW/4976mW VDD_SOC 1638mW/1627mW
[INFO] [1726753981.264653, 1710419128.737787]: timestamp 1726753981.00 VDD_IN 9599mW/10314mW VDD_CPU_GPU_CV 4136mW/4882mW VDD_SOC 1638mW/1628mW
[INFO] [1726753982.272231, 1710419129.750252]: timestamp 1726753982.00 VDD_IN 9558mW/10239mW VDD_CPU_GPU_CV 4136mW/4808mW VDD_SOC 1597mW/1625mW
[INFO] [1726753983.279027, 1710419130.754545]: timestamp 1726753983.00 VDD_IN 9107mW/10136mW VDD_CPU_GPU_CV 3686mW/4706mW VDD_SOC 1597mW/1623mW
[INFO] [1726753984.290623, 1710419131.760795]: timestamp 1726753984.00 VDD_IN 8902mW/10033mW VDD_CPU_GPU_CV 3481mW/4603mW VDD_SOC 1597mW/1620mW
[INFO] [1726753985.310111, 1710419132.783878]: timestamp 1726753985.00 VDD_IN 9927mW/10025mW VDD_CPU_GPU_CV 4464mW/4593mW VDD_SOC 1638mW/1622mW
[INFO] [1726753986.352298, 1710419133.229914]: timestamp 1726753986.00 VDD_IN 9927mW/10018mW VDD_CPU_GPU_CV 4464mW/4583mW VDD_SOC 1638mW/1623mW
[INFO] [1726753987.370838, 1710419133.229914]: timestamp 1726753987.00 VDD_IN 9271mW/9968mW VDD_CPU_GPU_CV 3768mW/4529mW VDD_SOC 1638mW/1624mW
[INFO] [1726753988.389371, 1710419133.229914]: timestamp 1726753988.00 VDD_IN 8943mW/9904mW VDD_CPU_GPU_CV 3481mW/4464mW VDD_SOC 1638mW/1625mW
[INFO] [1726753989.407650, 1710419133.229914]: timestamp 1726753989.00 VDD_IN 8943mW/9847mW VDD_CPU_GPU_CV 3481mW/4406mW VDD_SOC 1638mW/1625mW
[INFO] [1726753990.429837, 1710419133.229914]: timestamp 1726753990.00 VDD_IN 8861mW/9792mW VDD_CPU_GPU_CV 3399mW/4350mW VDD_SOC 1638mW/1626mW
[INFO] [1726753991.445220, 1710419133.229914]: timestamp 1726753991.00 VDD_IN 9230mW/9763mW VDD_CPU_GPU_CV 3768mW/4319mW VDD_SOC 1638mW/1627mW
[INFO] [1726753992.466158, 1710419133.229914]: timestamp 1726753992.00 VDD_IN 8820mW/9716mW VDD_CPU_GPU_CV 3440mW/4275mW VDD_SOC 1597mW/1625mW
[INFO] [1726753993.484697, 1710419133.229914]: timestamp 1726753993.00 VDD_IN 9066mW/9685mW VDD_CPU_GPU_CV 3604mW/4243mW VDD_SOC 1638mW/1626mW
[INFO] [1726753994.504222, 1710419133.229914]: timestamp 1726753994.00 VDD_IN 9025mW/9655mW VDD_CPU_GPU_CV 3522mW/4210mW VDD_SOC 1638mW/1626mW
[INFO] [1726753995.524971, 1710419133.229914]: timestamp 1726753995.00 VDD_IN 9517mW/9649mW VDD_CPU_GPU_CV 4055mW/4204mW VDD_SOC 1638mW/1627mW
[INFO] [1726753996.543115, 1710419133.229914]: timestamp 1726753996.00 VDD_IN 9066mW/9624mW VDD_CPU_GPU_CV 3645mW/4180mW VDD_SOC 1638mW/1627mW
[INFO] [1726753997.688704, 1710419133.229914]: timestamp 1726753997.00 VDD_IN 9025mW/9600mW VDD_CPU_GPU_CV 3604mW/4157mW VDD_SOC 1638mW/1628mW
[INFO] [1726753998.696206, 1710419133.229914]: timestamp 1726753998.00 VDD_IN 9804mW/9608mW VDD_CPU_GPU_CV 4300mW/4163mW VDD_SOC 1638mW/1628mW
[INFO] [1726753999.703966, 1710419133.229914]: timestamp 1726753999.00 VDD_IN 9271mW/9596mW VDD_CPU_GPU_CV 3809mW/4150mW VDD_SOC 1638mW/1628mW
[INFO] [1726754000.711530, 1710419133.229914]: timestamp 1726754000.00 VDD_IN 9148mW/9580mW VDD_CPU_GPU_CV 3686mW/4133mW VDD_SOC 1638mW/1629mW
[INFO] [1726754001.718467, 1710419133.229914]: timestamp 1726754001.00 VDD_IN 8532mW/9543mW VDD_CPU_GPU_CV 3194mW/4101mW VDD_SOC 1597mW/1628mW
[INFO] [1726754002.732342, 1710419133.229914]: timestamp 1726754002.00 VDD_IN 9517mW/9543mW VDD_CPU_GPU_CV 4014mW/4098mW VDD_SOC 1638mW/1628mW
[INFO] [1726754003.749243, 1710419133.229914]: timestamp 1726754003.00 VDD_IN 9230mW/9532mW VDD_CPU_GPU_CV 3768mW/4087mW VDD_SOC 1638mW/1628mW
