[INFO] [1726757116.471177, 0.000000]: Start power_monitor
[INFO] [1726757118.047290, 1710419133.183527]: timestamp 1726757117.00 VDD_IN 6144mW/6144mW VDD_CPU_GPU_CV 1925mW/1925mW VDD_SOC 1185mW/1185mW
[INFO] [1726757119.056485, 1710419134.195769]: timestamp 1726757118.00 VDD_IN 6881mW/6512mW VDD_CPU_GPU_CV 2334mW/2129mW VDD_SOC 1308mW/1246mW
[INFO] [1726757120.063605, 1710419135.203538]: timestamp 1726757119.00 VDD_IN 6553mW/6526mW VDD_CPU_GPU_CV 2416mW/2225mW VDD_SOC 1145mW/1212mW
[INFO] [1726757121.078786, 1710419136.215531]: timestamp 1726757120.00 VDD_IN 6768mW/6586mW VDD_CPU_GPU_CV 2621mW/2324mW VDD_SOC 1146mW/1196mW
[INFO] [1726757122.093379, 1710419137.228289]: timestamp 1726757121.00 VDD_IN 6103mW/6489mW VDD_CPU_GPU_CV 1966mW/2252mW VDD_SOC 1145mW/1185mW
[INFO] [1726757123.101188, 1710419138.238351]: timestamp 1726757122.00 VDD_IN 5652mW/6350mW VDD_CPU_GPU_CV 1556mW/2136mW VDD_SOC 1145mW/1179mW
[INFO] [1726757124.111669, 1710419139.249695]: timestamp 1726757123.00 VDD_IN 5406mW/6215mW VDD_CPU_GPU_CV 1310mW/2018mW VDD_SOC 1145mW/1174mW
[INFO] [1726757125.118185, 1710419140.259275]: timestamp 1726757125.00 VDD_IN 6594mW/6262mW VDD_CPU_GPU_CV 2498mW/2078mW VDD_SOC 1146mW/1170mW
[INFO] [1726757126.126011, 1710419141.266124]: timestamp 1726757126.00 VDD_IN 6144mW/6249mW VDD_CPU_GPU_CV 2007mW/2070mW VDD_SOC 1145mW/1167mW
[INFO] [1726757127.132546, 1710419142.269404]: timestamp 1726757127.00 VDD_IN 5529mW/6177mW VDD_CPU_GPU_CV 1433mW/2006mW VDD_SOC 1145mW/1165mW
[INFO] [1726757128.147469, 1710419143.283614]: timestamp 1726757128.00 VDD_IN 5120mW/6081mW VDD_CPU_GPU_CV 1024mW/1917mW VDD_SOC 1145mW/1163mW
