[INFO] [1726756620.401872, 0.000000]: Start power_monitor
[INFO] [1726756621.603124, 1710419125.067939]: timestamp 1726756621.00 VDD_IN 6963mW/6963mW VDD_CPU_GPU_CV 2580mW/2580mW VDD_SOC 1267mW/1267mW
[INFO] [1726756622.616562, 1710419126.083930]: timestamp 1726756622.00 VDD_IN 8122mW/7542mW VDD_CPU_GPU_CV 3358mW/2969mW VDD_SOC 1431mW/1349mW
[INFO] [1726756623.624270, 1710419127.090219]: timestamp 1726756623.00 VDD_IN 8779mW/7954mW VDD_CPU_GPU_CV 4055mW/3331mW VDD_SOC 1392mW/1363mW
[INFO] [1726756624.778974, 1710419128.246936]: timestamp 1726756624.00 VDD_IN 9025mW/8222mW VDD_CPU_GPU_CV 4259mW/3563mW VDD_SOC 1433mW/1380mW
[INFO] [1726756625.787969, 1710419129.255481]: timestamp 1726756625.00 VDD_IN 8656mW/8309mW VDD_CPU_GPU_CV 3891mW/3628mW VDD_SOC 1433mW/1391mW
[INFO] [1726756626.796847, 1710419130.262315]: timestamp 1726756626.00 VDD_IN 8450mW/8332mW VDD_CPU_GPU_CV 3563mW/3617mW VDD_SOC 1431mW/1397mW
[INFO] [1726756627.804086, 1710419131.270879]: timestamp 1726756627.00 VDD_IN 8984mW/8425mW VDD_CPU_GPU_CV 4218mW/3703mW VDD_SOC 1433mW/1402mW
[INFO] [1726756628.812576, 1710419132.283641]: timestamp 1726756628.00 VDD_IN 8738mW/8464mW VDD_CPU_GPU_CV 4055mW/3747mW VDD_SOC 1392mW/1401mW
[INFO] [1726756629.820605, 1710419133.284791]: timestamp 1726756629.00 VDD_IN 8368mW/8453mW VDD_CPU_GPU_CV 3604mW/3731mW VDD_SOC 1433mW/1405mW
[INFO] [1726756630.828919, 1710419134.301359]: timestamp 1726756630.00 VDD_IN 8491mW/8457mW VDD_CPU_GPU_CV 3604mW/3718mW VDD_SOC 1474mW/1411mW
[INFO] [1726756631.835469, 1710419135.305742]: timestamp 1726756631.00 VDD_IN 8163mW/8430mW VDD_CPU_GPU_CV 3358mW/3685mW VDD_SOC 1431mW/1413mW
[INFO] [1726756632.844764, 1710419136.311048]: timestamp 1726756632.00 VDD_IN 8204mW/8411mW VDD_CPU_GPU_CV 3399mW/3662mW VDD_SOC 1431mW/1415mW
