[INFO] [1726757987.620129, 0.000000]: Start power_monitor
[INFO] [1726757988.787268, 1710419129.113667]: timestamp 1726757988.00 VDD_IN 5816mW/5816mW VDD_CPU_GPU_CV 1720mW/1720mW VDD_SOC 1145mW/1145mW
[INFO] [1726757989.795003, 1710419130.118278]: timestamp 1726757989.00 VDD_IN 5160mW/5488mW VDD_CPU_GPU_CV 1146mW/1433mW VDD_SOC 1145mW/1145mW
[INFO] [1726757990.811404, 1710419131.145214]: timestamp 1726757990.00 VDD_IN 6768mW/5914mW VDD_CPU_GPU_CV 2703mW/1856mW VDD_SOC 1146mW/1145mW
[INFO] [1726757991.848078, 1710419132.182504]: timestamp 1726757991.00 VDD_IN 6184mW/5982mW VDD_CPU_GPU_CV 2088mW/1914mW VDD_SOC 1185mW/1155mW
[INFO] [1726757992.869927, 1710419133.203248]: timestamp 1726757992.00 VDD_IN 5324mW/5850mW VDD_CPU_GPU_CV 1269mW/1785mW VDD_SOC 1145mW/1153mW
[INFO] [1726757993.888747, 1710419134.210692]: timestamp 1726757993.00 VDD_IN 6430mW/5947mW VDD_CPU_GPU_CV 2088mW/1835mW VDD_SOC 1267mW/1172mW
[INFO] [1726757994.912056, 1710419135.241436]: timestamp 1726757994.00 VDD_IN 11117mW/6685mW VDD_CPU_GPU_CV 5857mW/2410mW VDD_SOC 1597mW/1232mW
[INFO] [1726757995.938932, 1710419136.267809]: timestamp 1726757995.00 VDD_IN 10214mW/7126mW VDD_CPU_GPU_CV 4956mW/2728mW VDD_SOC 1597mW/1278mW
[INFO] [1726757996.959604, 1710419137.291722]: timestamp 1726757996.00 VDD_IN 10050mW/7451mW VDD_CPU_GPU_CV 4710mW/2948mW VDD_SOC 1638mW/1318mW
[INFO] [1726757997.976237, 1710419138.307302]: timestamp 1726757997.00 VDD_IN 9886mW/7694mW VDD_CPU_GPU_CV 4546mW/3108mW VDD_SOC 1597mW/1346mW
[INFO] [1726757998.997489, 1710419139.329585]: timestamp 1726757998.00 VDD_IN 9230mW/7834mW VDD_CPU_GPU_CV 4055mW/3194mW VDD_SOC 1556mW/1365mW
[INFO] [1726758000.019718, 1710419140.347219]: timestamp 1726758000.00 VDD_IN 9394mW/7964mW VDD_CPU_GPU_CV 4177mW/3276mW VDD_SOC 1556mW/1381mW
[INFO] [1726758001.036779, 1710419141.369441]: timestamp 1726758001.00 VDD_IN 9599mW/8090mW VDD_CPU_GPU_CV 4300mW/3355mW VDD_SOC 1597mW/1397mW
[INFO] [1726758002.056756, 1710419141.582352]: timestamp 1726758002.00 VDD_IN 10297mW/8247mW VDD_CPU_GPU_CV 4956mW/3469mW VDD_SOC 1597mW/1412mW
[INFO] [1726758003.080201, 1710419141.582352]: timestamp 1726758003.00 VDD_IN 10338mW/8387mW VDD_CPU_GPU_CV 4956mW/3568mW VDD_SOC 1597mW/1424mW
[INFO] [1726758004.098904, 1710419141.582352]: timestamp 1726758004.00 VDD_IN 7384mW/8324mW VDD_CPU_GPU_CV 2703mW/3514mW VDD_SOC 1349mW/1419mW
[INFO] [1726758005.120106, 1710419141.582352]: timestamp 1726758005.00 VDD_IN 5324mW/8147mW VDD_CPU_GPU_CV 1228mW/3379mW VDD_SOC 1145mW/1403mW
[INFO] [1726758006.139629, 1710419141.582352]: timestamp 1726758006.00 VDD_IN 5324mW/7991mW VDD_CPU_GPU_CV 1269mW/3262mW VDD_SOC 1145mW/1389mW
[INFO] [1726758007.158599, 1710419141.582352]: timestamp 1726758007.00 VDD_IN 5242mW/7846mW VDD_CPU_GPU_CV 1228mW/3155mW VDD_SOC 1145mW/1376mW
[INFO] [1726758008.206088, 1710419141.582352]: timestamp 1726758008.00 VDD_IN 5652mW/7736mW VDD_CPU_GPU_CV 1597mW/3077mW VDD_SOC 1145mW/1364mW
[INFO] [1726758009.230141, 1710419141.582352]: timestamp 1726758009.00 VDD_IN 4874mW/7600mW VDD_CPU_GPU_CV 901mW/2973mW VDD_SOC 1145mW/1354mW
[INFO] [1726758010.255720, 1710419141.582352]: timestamp 1726758010.00 VDD_IN 4915mW/7478mW VDD_CPU_GPU_CV 901mW/2879mW VDD_SOC 1145mW/1344mW
[INFO] [1726758011.284632, 1710419141.582352]: timestamp 1726758011.00 VDD_IN 4833mW/7363mW VDD_CPU_GPU_CV 860mW/2791mW VDD_SOC 1145mW/1336mW
[INFO] [1726758012.312812, 1710419141.582352]: timestamp 1726758012.00 VDD_IN 4874mW/7259mW VDD_CPU_GPU_CV 860mW/2711mW VDD_SOC 1145mW/1328mW
[INFO] [1726758013.344950, 1710419141.582352]: timestamp 1726758013.00 VDD_IN 4874mW/7164mW VDD_CPU_GPU_CV 860mW/2637mW VDD_SOC 1145mW/1320mW
[INFO] [1726758014.366321, 1710419141.582352]: timestamp 1726758014.00 VDD_IN 4792mW/7072mW VDD_CPU_GPU_CV 819mW/2567mW VDD_SOC 1145mW/1314mW
[INFO] [1726758015.383466, 1710419141.582352]: timestamp 1726758015.00 VDD_IN 5570mW/7017mW VDD_CPU_GPU_CV 1515mW/2528mW VDD_SOC 1145mW/1307mW
