[INFO] [1726756202.474875, 0.000000]: Start power_monitor
[INFO] [1726756204.050530, 1710419125.868412]: timestamp 1726756203.00 VDD_IN 5816mW/5816mW VDD_CPU_GPU_CV 1802mW/1802mW VDD_SOC 1145mW/1145mW
[INFO] [1726756205.060899, 1710419126.888369]: timestamp 1726756204.00 VDD_IN 5283mW/5549mW VDD_CPU_GPU_CV 1228mW/1515mW VDD_SOC 1145mW/1145mW
[INFO] [1726756206.072424, 1710419127.891432]: timestamp 1726756205.00 VDD_IN 6676mW/5925mW VDD_CPU_GPU_CV 2621mW/1883mW VDD_SOC 1187mW/1159mW
[INFO] [1726756207.096258, 1710419128.886372]: timestamp 1726756207.00 VDD_IN 6933mW/6177mW VDD_CPU_GPU_CV 2785mW/2109mW VDD_SOC 1187mW/1166mW
[INFO] [1726756208.123407, 1710419129.949998]: timestamp 1726756208.00 VDD_IN 6563mW/6254mW VDD_CPU_GPU_CV 2457mW/2178mW VDD_SOC 1185mW/1169mW
[INFO] [1726756209.132454, 1710419130.956745]: timestamp 1726756209.00 VDD_IN 5488mW/6126mW VDD_CPU_GPU_CV 1433mW/2054mW VDD_SOC 1145mW/1165mW
[INFO] [1726756210.140279, 1710419131.967853]: timestamp 1726756210.00 VDD_IN 5611mW/6052mW VDD_CPU_GPU_CV 1392mW/1959mW VDD_SOC 1226mW/1174mW
[INFO] [1726756211.147174, 1710419132.973886]: timestamp 1726756211.00 VDD_IN 10830mW/6650mW VDD_CPU_GPU_CV 5611mW/2416mW VDD_SOC 1556mW/1222mW
[INFO] [1726756212.153444, 1710419133.972130]: timestamp 1726756212.00 VDD_IN 9394mW/6954mW VDD_CPU_GPU_CV 4259mW/2620mW VDD_SOC 1515mW/1254mW
[INFO] [1726756213.160542, 1710419134.986284]: timestamp 1726756213.00 VDD_IN 10173mW/7276mW VDD_CPU_GPU_CV 4710mW/2829mW VDD_SOC 1638mW/1292mW
[INFO] [1726756214.170041, 1710419135.993629]: timestamp 1726756214.00 VDD_IN 9476mW/7476mW VDD_CPU_GPU_CV 3973mW/2933mW VDD_SOC 1638mW/1324mW
[INFO] [1726756215.181171, 1710419137.007903]: timestamp 1726756215.00 VDD_IN 9804mW/7670mW VDD_CPU_GPU_CV 4300mW/3047mW VDD_SOC 1638mW/1350mW
[INFO] [1726756216.189112, 1710419138.013067]: timestamp 1726756216.00 VDD_IN 9107mW/7781mW VDD_CPU_GPU_CV 3645mW/3093mW VDD_SOC 1638mW/1372mW
[INFO] [1726756217.196836, 1710419139.024126]: timestamp 1726756217.00 VDD_IN 9066mW/7872mW VDD_CPU_GPU_CV 3727mW/3138mW VDD_SOC 1597mW/1388mW
[INFO] [1726756218.208378, 1710419139.946990]: timestamp 1726756218.00 VDD_IN 9353mW/7971mW VDD_CPU_GPU_CV 3850mW/3186mW VDD_SOC 1638mW/1405mW
[INFO] [1726756219.228078, 1710419139.946990]: timestamp 1726756219.00 VDD_IN 9517mW/8068mW VDD_CPU_GPU_CV 4096mW/3243mW VDD_SOC 1638mW/1419mW
[INFO] [1726756220.245426, 1710419139.946990]: timestamp 1726756220.00 VDD_IN 5365mW/7909mW VDD_CPU_GPU_CV 1228mW/3124mW VDD_SOC 1185mW/1405mW
[INFO] [1726756221.261026, 1710419139.946990]: timestamp 1726756221.00 VDD_IN 5693mW/7786mW VDD_CPU_GPU_CV 1597mW/3039mW VDD_SOC 1185mW/1393mW
[INFO] [1726756222.281291, 1710419139.946990]: timestamp 1726756222.00 VDD_IN 5283mW/7654mW VDD_CPU_GPU_CV 1269mW/2946mW VDD_SOC 1145mW/1380mW
[INFO] [1726756223.300572, 1710419139.946990]: timestamp 1726756223.00 VDD_IN 5242mW/7533mW VDD_CPU_GPU_CV 1187mW/2858mW VDD_SOC 1145mW/1368mW
[INFO] [1726756224.321095, 1710419139.946990]: timestamp 1726756224.00 VDD_IN 5038mW/7414mW VDD_CPU_GPU_CV 983mW/2769mW VDD_SOC 1145mW/1358mW
[INFO] [1726756225.346221, 1710419139.946990]: timestamp 1726756225.00 VDD_IN 5611mW/7332mW VDD_CPU_GPU_CV 1556mW/2714mW VDD_SOC 1145mW/1348mW
[INFO] [1726756226.367606, 1710419139.946990]: timestamp 1726756226.00 VDD_IN 5079mW/7234mW VDD_CPU_GPU_CV 1024mW/2640mW VDD_SOC 1145mW/1339mW
[INFO] [1726756227.387463, 1710419139.946990]: timestamp 1726756227.00 VDD_IN 4956mW/7139mW VDD_CPU_GPU_CV 942mW/2569mW VDD_SOC 1145mW/1331mW
[INFO] [1726756228.408405, 1710419139.946990]: timestamp 1726756228.00 VDD_IN 4956mW/7052mW VDD_CPU_GPU_CV 942mW/2504mW VDD_SOC 1145mW/1324mW
[INFO] [1726756229.428515, 1710419139.946990]: timestamp 1726756229.00 VDD_IN 4997mW/6973mW VDD_CPU_GPU_CV 983mW/2446mW VDD_SOC 1145mW/1317mW
[INFO] [1726756230.447987, 1710419139.946990]: timestamp 1726756230.00 VDD_IN 4956mW/6898mW VDD_CPU_GPU_CV 942mW/2390mW VDD_SOC 1145mW/1310mW
[INFO] [1726756231.464833, 1710419139.946990]: timestamp 1726756231.00 VDD_IN 4997mW/6830mW VDD_CPU_GPU_CV 983mW/2340mW VDD_SOC 1145mW/1304mW
[INFO] [1726756232.485500, 1710419139.946990]: timestamp 1726756232.00 VDD_IN 4997mW/6767mW VDD_CPU_GPU_CV 942mW/2291mW VDD_SOC 1145mW/1299mW
[INFO] [1726756233.509469, 1710419139.946990]: timestamp 1726756233.00 VDD_IN 4915mW/6705mW VDD_CPU_GPU_CV 942mW/2246mW VDD_SOC 1145mW/1294mW
[INFO] [1726756234.527619, 1710419139.946990]: timestamp 1726756234.00 VDD_IN 4874mW/6646mW VDD_CPU_GPU_CV 860mW/2202mW VDD_SOC 1145mW/1289mW
[INFO] [1726756235.544908, 1710419139.946990]: timestamp 1726756235.00 VDD_IN 5365mW/6606mW VDD_CPU_GPU_CV 1351mW/2175mW VDD_SOC 1145mW/1284mW
[INFO] [1726756236.562985, 1710419139.946990]: timestamp 1726756236.00 VDD_IN 4956mW/6556mW VDD_CPU_GPU_CV 942mW/2138mW VDD_SOC 1145mW/1280mW
[INFO] [1726756237.585178, 1710419139.946990]: timestamp 1726756237.00 VDD_IN 4997mW/6510mW VDD_CPU_GPU_CV 942mW/2103mW VDD_SOC 1145mW/1276mW
[INFO] [1726756238.604155, 1710419139.946990]: timestamp 1726756238.00 VDD_IN 4915mW/6465mW VDD_CPU_GPU_CV 901mW/2068mW VDD_SOC 1145mW/1272mW
[INFO] [1726756239.625396, 1710419139.946990]: timestamp 1726756239.00 VDD_IN 4874mW/6421mW VDD_CPU_GPU_CV 901mW/2036mW VDD_SOC 1145mW/1269mW
