[INFO] [1726742503.071379, 0.000000]: Start power_monitor
[INFO] [1726742504.714160, 1710419127.419101]: timestamp 1726742504.00 VDD_IN 6933mW/6933mW VDD_CPU_GPU_CV 2498mW/2498mW VDD_SOC 1308mW/1308mW
[INFO] [1726742505.722276, 1710419128.434071]: timestamp 1726742505.00 VDD_IN 9681mW/8307mW VDD_CPU_GPU_CV 4423mW/3460mW VDD_SOC 1597mW/1452mW
[INFO] [1726742506.736495, 1710419129.456046]: timestamp 1726742506.00 VDD_IN 11035mW/9216mW VDD_CPU_GPU_CV 5734mW/4218mW VDD_SOC 1597mW/1500mW
[INFO] [1726742507.752743, 1710419130.467548]: timestamp 1726742507.00 VDD_IN 10379mW/9507mW VDD_CPU_GPU_CV 5283mW/4484mW VDD_SOC 1556mW/1514mW
[INFO] [1726742508.769346, 1710419131.486627]: timestamp 1726742508.00 VDD_IN 10132mW/9632mW VDD_CPU_GPU_CV 4833mW/4554mW VDD_SOC 1597mW/1531mW
[INFO] [1726742509.790044, 1710419132.508263]: timestamp 1726742509.00 VDD_IN 9845mW/9667mW VDD_CPU_GPU_CV 4505mW/4546mW VDD_SOC 1597mW/1542mW
[INFO] [1726742510.822626, 1710419133.540865]: timestamp 1726742510.00 VDD_IN 11240mW/9892mW VDD_CPU_GPU_CV 5939mW/4745mW VDD_SOC 1597mW/1549mW
[INFO] [1726742511.860162, 1710419134.576257]: timestamp 1726742511.00 VDD_IN 10543mW/9973mW VDD_CPU_GPU_CV 5283mW/4812mW VDD_SOC 1597mW/1555mW
[INFO] [1726742512.880057, 1710419135.599450]: timestamp 1726742512.00 VDD_IN 9558mW/9927mW VDD_CPU_GPU_CV 4382mW/4764mW VDD_SOC 1556mW/1555mW
[INFO] [1726742513.900730, 1710419136.612414]: timestamp 1726742513.00 VDD_IN 9763mW/9910mW VDD_CPU_GPU_CV 4464mW/4734mW VDD_SOC 1597mW/1559mW
[INFO] [1726742514.919855, 1710419137.635746]: timestamp 1726742514.00 VDD_IN 9517mW/9875mW VDD_CPU_GPU_CV 4259mW/4691mW VDD_SOC 1597mW/1563mW
[INFO] [1726742515.942865, 1710419138.657991]: timestamp 1726742515.00 VDD_IN 9599mW/9852mW VDD_CPU_GPU_CV 4300mW/4658mW VDD_SOC 1597mW/1566mW
[INFO] [1726742516.959965, 1710419139.674167]: timestamp 1726742516.00 VDD_IN 10091mW/9870mW VDD_CPU_GPU_CV 4751mW/4665mW VDD_SOC 1638mW/1571mW
[INFO] [1726742517.975580, 1710419140.384810]: timestamp 1726742517.00 VDD_IN 9476mW/9842mW VDD_CPU_GPU_CV 4218mW/4633mW VDD_SOC 1556mW/1570mW
[INFO] [1726742518.992163, 1710419140.384810]: timestamp 1726742518.00 VDD_IN 9804mW/9839mW VDD_CPU_GPU_CV 4464mW/4622mW VDD_SOC 1597mW/1572mW
[INFO] [1726742520.014967, 1710419140.384810]: timestamp 1726742520.00 VDD_IN 9394mW/9811mW VDD_CPU_GPU_CV 4096mW/4589mW VDD_SOC 1597mW/1573mW
