[INFO] [1726740673.027056, 0.000000]: Start power_monitor
[INFO] [1726740674.714606, 1710419126.218088]: timestamp 1726740674.00 VDD_IN 5734mW/5734mW VDD_CPU_GPU_CV 1638mW/1638mW VDD_SOC 1145mW/1145mW
[INFO] [1726740675.724352, 1710419127.232526]: timestamp 1726740675.00 VDD_IN 5242mW/5488mW VDD_CPU_GPU_CV 1187mW/1412mW VDD_SOC 1145mW/1145mW
[INFO] [1726740676.730301, 1710419128.245247]: timestamp 1726740676.00 VDD_IN 6307mW/5761mW VDD_CPU_GPU_CV 2170mW/1665mW VDD_SOC 1145mW/1145mW
[INFO] [1726740677.737590, 1710419129.244985]: timestamp 1726740677.00 VDD_IN 8245mW/6382mW VDD_CPU_GPU_CV 3768mW/2190mW VDD_SOC 1310mW/1186mW
[INFO] [1726740678.745456, 1710419130.251599]: timestamp 1726740678.00 VDD_IN 9640mW/7033mW VDD_CPU_GPU_CV 4464mW/2645mW VDD_SOC 1515mW/1252mW
[INFO] [1726740679.754859, 1710419131.265864]: timestamp 1726740679.00 VDD_IN 7536mW/7117mW VDD_CPU_GPU_CV 2826mW/2675mW VDD_SOC 1349mW/1268mW
[INFO] [1726740680.769178, 1710419132.282130]: timestamp 1726740680.00 VDD_IN 10173mW/7553mW VDD_CPU_GPU_CV 4792mW/2977mW VDD_SOC 1597mW/1315mW
[INFO] [1726740681.775401, 1710419133.282259]: timestamp 1726740681.00 VDD_IN 10953mW/7978mW VDD_CPU_GPU_CV 5447mW/3286mW VDD_SOC 1638mW/1355mW
[INFO] [1726740682.782204, 1710419134.296126]: timestamp 1726740682.00 VDD_IN 10666mW/8277mW VDD_CPU_GPU_CV 5079mW/3485mW VDD_SOC 1638mW/1386mW
[INFO] [1726740683.790742, 1710419135.300676]: timestamp 1726740683.00 VDD_IN 10009mW/8450mW VDD_CPU_GPU_CV 4423mW/3579mW VDD_SOC 1638mW/1412mW
[INFO] [1726740684.797174, 1710419136.310862]: timestamp 1726740684.00 VDD_IN 10009mW/8592mW VDD_CPU_GPU_CV 4464mW/3659mW VDD_SOC 1638mW/1432mW
[INFO] [1726740685.804766, 1710419137.311357]: timestamp 1726740685.00 VDD_IN 10214mW/8727mW VDD_CPU_GPU_CV 4587mW/3737mW VDD_SOC 1638mW/1449mW
[INFO] [1726740686.812635, 1710419138.328445]: timestamp 1726740686.00 VDD_IN 9599mW/8794mW VDD_CPU_GPU_CV 4300mW/3780mW VDD_SOC 1556mW/1457mW
[INFO] [1726740687.818721, 1710419139.330417]: timestamp 1726740687.00 VDD_IN 8450mW/8769mW VDD_CPU_GPU_CV 3358mW/3750mW VDD_SOC 1472mW/1458mW
[INFO] [1726740688.825859, 1710419139.360677]: timestamp 1726740688.00 VDD_IN 9476mW/8816mW VDD_CPU_GPU_CV 4218mW/3781mW VDD_SOC 1556mW/1465mW
[INFO] [1726740689.844383, 1710419139.360677]: timestamp 1726740689.00 VDD_IN 9107mW/8835mW VDD_CPU_GPU_CV 3850mW/3785mW VDD_SOC 1513mW/1468mW
[INFO] [1726740690.865622, 1710419139.360677]: timestamp 1726740690.00 VDD_IN 8656mW/8824mW VDD_CPU_GPU_CV 3481mW/3767mW VDD_SOC 1515mW/1471mW
[INFO] [1726740691.886218, 1710419139.360677]: timestamp 1726740691.00 VDD_IN 8902mW/8828mW VDD_CPU_GPU_CV 3645mW/3760mW VDD_SOC 1554mW/1475mW
[INFO] [1726740692.904941, 1710419139.360677]: timestamp 1726740692.00 VDD_IN 8656mW/8819mW VDD_CPU_GPU_CV 3481mW/3746mW VDD_SOC 1513mW/1477mW
[INFO] [1726740693.926023, 1710419139.360677]: timestamp 1726740693.00 VDD_IN 8984mW/8827mW VDD_CPU_GPU_CV 3768mW/3747mW VDD_SOC 1515mW/1479mW
[INFO] [1726740694.944081, 1710419139.360677]: timestamp 1726740694.00 VDD_IN 9435mW/8856mW VDD_CPU_GPU_CV 4177mW/3767mW VDD_SOC 1556mW/1483mW
[INFO] [1726740695.958252, 1710419139.360677]: timestamp 1726740695.00 VDD_IN 8943mW/8860mW VDD_CPU_GPU_CV 3686mW/3764mW VDD_SOC 1554mW/1486mW
[INFO] [1726740696.973668, 1710419139.360677]: timestamp 1726740696.00 VDD_IN 9435mW/8885mW VDD_CPU_GPU_CV 4177mW/3782mW VDD_SOC 1556mW/1489mW
[INFO] [1726740697.988676, 1710419139.360677]: timestamp 1726740697.00 VDD_IN 8574mW/8872mW VDD_CPU_GPU_CV 3440mW/3767mW VDD_SOC 1515mW/1490mW
[INFO] [1726740699.012660, 1710419139.360677]: timestamp 1726740699.00 VDD_IN 8491mW/8857mW VDD_CPU_GPU_CV 3358mW/3751mW VDD_SOC 1515mW/1491mW
[INFO] [1726740700.031856, 1710419139.360677]: timestamp 1726740700.00 VDD_IN 9066mW/8865mW VDD_CPU_GPU_CV 3809mW/3753mW VDD_SOC 1556mW/1493mW
[INFO] [1726740701.046477, 1710419139.360677]: timestamp 1726740701.00 VDD_IN 8984mW/8869mW VDD_CPU_GPU_CV 3727mW/3752mW VDD_SOC 1556mW/1496mW
[INFO] [1726740702.068177, 1710419139.360677]: timestamp 1726740702.00 VDD_IN 8574mW/8859mW VDD_CPU_GPU_CV 3399mW/3739mW VDD_SOC 1515mW/1496mW
[INFO] [1726740703.084657, 1710419139.360677]: timestamp 1726740703.00 VDD_IN 8532mW/8848mW VDD_CPU_GPU_CV 3399mW/3728mW VDD_SOC 1515mW/1497mW
[INFO] [1726740704.106293, 1710419139.360677]: timestamp 1726740704.00 VDD_IN 9148mW/8858mW VDD_CPU_GPU_CV 3809mW/3730mW VDD_SOC 1556mW/1499mW
[INFO] [1726740705.135410, 1710419139.360677]: timestamp 1726740705.00 VDD_IN 8656mW/8851mW VDD_CPU_GPU_CV 3440mW/3721mW VDD_SOC 1515mW/1499mW
[INFO] [1726740706.155114, 1710419139.360677]: timestamp 1726740706.00 VDD_IN 8615mW/8844mW VDD_CPU_GPU_CV 3440mW/3712mW VDD_SOC 1515mW/1500mW
