[INFO] [1726743859.389768, 1710419131.844110]: Start power_monitor
[INFO] [1726743860.878450, 1710419133.321271]: timestamp 1726743860.00 VDD_IN 5898mW/5898mW VDD_CPU_GPU_CV 1884mW/1884mW VDD_SOC 1104mW/1104mW
[INFO] [1726743861.889745, 1710419134.345166]: timestamp 1726743861.00 VDD_IN 6922mW/6410mW VDD_CPU_GPU_CV 2375mW/2129mW VDD_SOC 1267mW/1185mW
[INFO] [1726743862.896048, 1710419135.347733]: timestamp 1726743862.00 VDD_IN 6471mW/6430mW VDD_CPU_GPU_CV 2334mW/2197mW VDD_SOC 1145mW/1172mW
[INFO] [1726743863.903382, 1710419136.361998]: timestamp 1726743863.00 VDD_IN 6676mW/6491mW VDD_CPU_GPU_CV 2621mW/2303mW VDD_SOC 1105mW/1155mW
[INFO] [1726743864.916448, 1710419137.369988]: timestamp 1726743864.00 VDD_IN 6021mW/6397mW VDD_CPU_GPU_CV 1884mW/2219mW VDD_SOC 1145mW/1153mW
[INFO] [1726743865.927961, 1710419138.377071]: timestamp 1726743865.00 VDD_IN 5406mW/6232mW VDD_CPU_GPU_CV 1351mW/2074mW VDD_SOC 1104mW/1145mW
[INFO] [1726743866.934818, 1710419139.375328]: timestamp 1726743866.00 VDD_IN 5980mW/6196mW VDD_CPU_GPU_CV 1884mW/2047mW VDD_SOC 1104mW/1139mW
[INFO] [1726743867.941211, 1710419140.392171]: timestamp 1726743867.00 VDD_IN 6512mW/6235mW VDD_CPU_GPU_CV 2498mW/2103mW VDD_SOC 1105mW/1134mW
[INFO] [1726743868.948358, 1710419141.409011]: timestamp 1726743868.00 VDD_IN 5406mW/6143mW VDD_CPU_GPU_CV 1392mW/2024mW VDD_SOC 1104mW/1131mW
[INFO] [1726743869.955780, 1710419142.410275]: timestamp 1726743869.00 VDD_IN 5160mW/6045mW VDD_CPU_GPU_CV 1146mW/1936mW VDD_SOC 1104mW/1128mW
[INFO] [1726743870.962619, 1710419143.420959]: timestamp 1726743870.00 VDD_IN 4997mW/5949mW VDD_CPU_GPU_CV 983mW/1850mW VDD_SOC 1104mW/1126mW
[INFO] [1726743871.968349, 1710419144.427938]: timestamp 1726743871.00 VDD_IN 4915mW/5863mW VDD_CPU_GPU_CV 942mW/1774mW VDD_SOC 1104mW/1124mW
[INFO] [1726743872.975555, 1710419145.429645]: timestamp 1726743872.00 VDD_IN 5160mW/5809mW VDD_CPU_GPU_CV 1105mW/1723mW VDD_SOC 1104mW/1123mW
[INFO] [1726743873.983995, 1710419146.442492]: timestamp 1726743873.00 VDD_IN 5242mW/5769mW VDD_CPU_GPU_CV 1187mW/1684mW VDD_SOC 1104mW/1121mW
[INFO] [1726743874.992213, 1710419146.837501]: timestamp 1726743874.00 VDD_IN 5611mW/5758mW VDD_CPU_GPU_CV 1556mW/1676mW VDD_SOC 1104mW/1120mW
