[INFO] [1726743359.610125, 0.000000]: Start power_monitor
[INFO] [1726743360.836710, 1710419134.448072]: timestamp 1726743360.00 VDD_IN 6389mW/6389mW VDD_CPU_GPU_CV 2211mW/2211mW VDD_SOC 1185mW/1185mW
[INFO] [1726743361.844484, 1710419135.463195]: timestamp 1726743361.00 VDD_IN 6881mW/6635mW VDD_CPU_GPU_CV 2375mW/2293mW VDD_SOC 1308mW/1246mW
[INFO] [1726743362.858860, 1710419136.468904]: timestamp 1726743362.00 VDD_IN 7372mW/6880mW VDD_CPU_GPU_CV 2908mW/2498mW VDD_SOC 1308mW/1267mW
[INFO] [1726743363.876010, 1710419137.494085]: timestamp 1726743363.00 VDD_IN 8368mW/7252mW VDD_CPU_GPU_CV 3850mW/2836mW VDD_SOC 1310mW/1277mW
[INFO] [1726743364.900396, 1710419138.519312]: timestamp 1726743364.00 VDD_IN 7917mW/7385mW VDD_CPU_GPU_CV 3276mW/2924mW VDD_SOC 1390mW/1300mW
[INFO] [1726743365.917855, 1710419139.527384]: timestamp 1726743365.00 VDD_IN 8368mW/7549mW VDD_CPU_GPU_CV 3563mW/3030mW VDD_SOC 1433mW/1322mW
[INFO] [1726743366.936016, 1710419140.546506]: timestamp 1726743366.00 VDD_IN 8820mW/7730mW VDD_CPU_GPU_CV 3932mW/3159mW VDD_SOC 1474mW/1344mW
[INFO] [1726743367.964806, 1710419141.581891]: timestamp 1726743367.00 VDD_IN 8984mW/7887mW VDD_CPU_GPU_CV 4259mW/3296mW VDD_SOC 1392mW/1350mW
[INFO] [1726743368.998046, 1710419142.607852]: timestamp 1726743368.00 VDD_IN 9312mW/8045mW VDD_CPU_GPU_CV 4505mW/3431mW VDD_SOC 1433mW/1359mW
[INFO] [1726743370.048457, 1710419143.661519]: timestamp 1726743370.00 VDD_IN 8738mW/8114mW VDD_CPU_GPU_CV 3973mW/3485mW VDD_SOC 1433mW/1366mW
[INFO] [1726743371.054301, 1710419144.666547]: timestamp 1726743371.00 VDD_IN 8491mW/8149mW VDD_CPU_GPU_CV 3686mW/3503mW VDD_SOC 1433mW/1372mW
[INFO] [1726743372.062451, 1710419145.681334]: timestamp 1726743372.00 VDD_IN 8368mW/8167mW VDD_CPU_GPU_CV 3522mW/3505mW VDD_SOC 1472mW/1380mW
[INFO] [1726743373.163251, 1710419146.774899]: timestamp 1726743373.00 VDD_IN 8327mW/8179mW VDD_CPU_GPU_CV 3481mW/3503mW VDD_SOC 1472mW/1387mW
[INFO] [1726743374.175555, 1710419147.787986]: timestamp 1726743374.00 VDD_IN 8450mW/8198mW VDD_CPU_GPU_CV 3563mW/3507mW VDD_SOC 1472mW/1393mW
[INFO] [1726743375.182719, 1710419123.931525]: timestamp 1726743375.00 VDD_IN 8574mW/8223mW VDD_CPU_GPU_CV 3727mW/3522mW VDD_SOC 1474mW/1399mW
[INFO] [1726743376.190888, 1710419124.691580]: timestamp 1726743376.00 VDD_IN 8738mW/8256mW VDD_CPU_GPU_CV 3850mW/3542mW VDD_SOC 1474mW/1403mW
[INFO] [1726743377.199541, 1710419124.691580]: timestamp 1726743377.00 VDD_IN 8615mW/8277mW VDD_CPU_GPU_CV 3809mW/3558mW VDD_SOC 1433mW/1405mW
[INFO] [1726743378.214539, 1710419124.691580]: timestamp 1726743378.00 VDD_IN 7999mW/8261mW VDD_CPU_GPU_CV 3276mW/3542mW VDD_SOC 1431mW/1407mW
[INFO] [1726743379.220823, 1710419124.691580]: timestamp 1726743379.00 VDD_IN 8327mW/8265mW VDD_CPU_GPU_CV 3440mW/3537mW VDD_SOC 1472mW/1410mW
[INFO] [1726743380.227216, 1710419124.691580]: timestamp 1726743380.00 VDD_IN 8327mW/8268mW VDD_CPU_GPU_CV 3440mW/3532mW VDD_SOC 1474mW/1413mW
[INFO] [1726743381.234154, 1710419124.691580]: timestamp 1726743381.00 VDD_IN 8532mW/8280mW VDD_CPU_GPU_CV 3563mW/3533mW VDD_SOC 1472mW/1416mW
[INFO] [1726743382.241686, 1710419124.691580]: timestamp 1726743382.00 VDD_IN 7372mW/8239mW VDD_CPU_GPU_CV 2703mW/3496mW VDD_SOC 1390mW/1415mW
[INFO] [1726743383.256326, 1710419124.691580]: timestamp 1726743383.00 VDD_IN 6430mW/8160mW VDD_CPU_GPU_CV 1925mW/3427mW VDD_SOC 1349mW/1412mW
[INFO] [1726743384.274115, 1710419124.691580]: timestamp 1726743384.00 VDD_IN 6389mW/8087mW VDD_CPU_GPU_CV 1884mW/3363mW VDD_SOC 1349mW/1409mW
[INFO] [1726743385.301946, 1710419124.691580]: timestamp 1726743385.00 VDD_IN 7127mW/8048mW VDD_CPU_GPU_CV 2621mW/3333mW VDD_SOC 1349mW/1407mW
[INFO] [1726743386.336356, 1710419124.691580]: timestamp 1726743386.00 VDD_IN 6635mW/7994mW VDD_CPU_GPU_CV 2048mW/3284mW VDD_SOC 1349mW/1405mW
[INFO] [1726743387.352731, 1710419124.691580]: timestamp 1726743387.00 VDD_IN 7536mW/7977mW VDD_CPU_GPU_CV 2826mW/3267mW VDD_SOC 1390mW/1404mW
[INFO] [1726743388.369584, 1710419124.691580]: timestamp 1726743388.00 VDD_IN 8040mW/7979mW VDD_CPU_GPU_CV 3194mW/3264mW VDD_SOC 1431mW/1405mW
[INFO] [1726743389.391882, 1710419124.691580]: timestamp 1726743389.00 VDD_IN 6266mW/7920mW VDD_CPU_GPU_CV 1843mW/3215mW VDD_SOC 1308mW/1402mW
[INFO] [1726743390.408224, 1710419124.691580]: timestamp 1726743390.00 VDD_IN 8122mW/7927mW VDD_CPU_GPU_CV 3235mW/3216mW VDD_SOC 1472mW/1404mW
[INFO] [1726743391.430311, 1710419124.691580]: timestamp 1726743391.00 VDD_IN 7741mW/7921mW VDD_CPU_GPU_CV 2949mW/3207mW VDD_SOC 1431mW/1405mW
[INFO] [1726743392.450306, 1710419124.691580]: timestamp 1726743392.00 VDD_IN 6348mW/7871mW VDD_CPU_GPU_CV 1843mW/3165mW VDD_SOC 1308mW/1402mW
[INFO] [1726743393.467610, 1710419124.691580]: timestamp 1726743393.00 VDD_IN 6471mW/7829mW VDD_CPU_GPU_CV 1884mW/3126mW VDD_SOC 1349mW/1400mW
[INFO] [1726743394.486953, 1710419124.691580]: timestamp 1726743394.00 VDD_IN 6266mW/7783mW VDD_CPU_GPU_CV 1761mW/3086mW VDD_SOC 1308mW/1397mW
[INFO] [1726743395.506339, 1710419124.691580]: timestamp 1726743395.00 VDD_IN 6430mW/7744mW VDD_CPU_GPU_CV 1884mW/3051mW VDD_SOC 1349mW/1396mW
[INFO] [1726743396.547434, 1710419124.691580]: timestamp 1726743396.00 VDD_IN 8368mW/7762mW VDD_CPU_GPU_CV 3563mW/3065mW VDD_SOC 1431mW/1397mW
[INFO] [1726743397.565648, 1710419124.691580]: timestamp 1726743397.00 VDD_IN 6676mW/7732mW VDD_CPU_GPU_CV 2170mW/3041mW VDD_SOC 1308mW/1395mW
[INFO] [1726743398.583016, 1710419124.691580]: timestamp 1726743398.00 VDD_IN 7618mW/7729mW VDD_CPU_GPU_CV 2867mW/3037mW VDD_SOC 1431mW/1395mW
[INFO] [1726743399.599386, 1710419124.691580]: timestamp 1726743399.00 VDD_IN 8532mW/7750mW VDD_CPU_GPU_CV 3604mW/3051mW VDD_SOC 1515mW/1399mW
[INFO] [1726743400.616474, 1710419124.691580]: timestamp 1726743400.00 VDD_IN 8656mW/7773mW VDD_CPU_GPU_CV 3686mW/3067mW VDD_SOC 1515mW/1401mW
[INFO] [1726743401.633316, 1710419124.691580]: timestamp 1726743401.00 VDD_IN 8574mW/7792mW VDD_CPU_GPU_CV 3686mW/3082mW VDD_SOC 1474mW/1403mW
[INFO] [1726743402.650685, 1710419124.691580]: timestamp 1726743402.00 VDD_IN 7917mW/7795mW VDD_CPU_GPU_CV 3112mW/3083mW VDD_SOC 1431mW/1404mW
[INFO] [1726743403.668876, 1710419124.691580]: timestamp 1726743403.00 VDD_IN 8491mW/7811mW VDD_CPU_GPU_CV 3563mW/3094mW VDD_SOC 1474mW/1405mW
