[INFO] [1726742936.309310, 0.000000]: Start power_monitor
[INFO] [1726742937.868195, 1710419143.993560]: timestamp 1726742937.00 VDD_IN 6021mW/6021mW VDD_CPU_GPU_CV 1966mW/1966mW VDD_SOC 1145mW/1145mW
[INFO] [1726742938.953527, 1710419145.083954]: timestamp 1726742938.00 VDD_IN 5283mW/5652mW VDD_CPU_GPU_CV 1228mW/1597mW VDD_SOC 1145mW/1145mW
[INFO] [1726742939.963585, 1710419146.100484]: timestamp 1726742939.00 VDD_IN 6635mW/5979mW VDD_CPU_GPU_CV 2539mW/1911mW VDD_SOC 1185mW/1158mW
[INFO] [1726742940.970553, 1710419147.103823]: timestamp 1726742940.00 VDD_IN 6727mW/6166mW VDD_CPU_GPU_CV 2621mW/2088mW VDD_SOC 1187mW/1165mW
[INFO] [1726742941.977341, 1710419148.112437]: timestamp 1726742941.00 VDD_IN 6103mW/6153mW VDD_CPU_GPU_CV 1884mW/2047mW VDD_SOC 1226mW/1177mW
[INFO] [1726742942.984347, 1710419124.249258]: timestamp 1726742942.00 VDD_IN 7905mW/6445mW VDD_CPU_GPU_CV 3031mW/2211mW VDD_SOC 1431mW/1219mW
[INFO] [1726742944.030651, 1710419125.298876]: timestamp 1726742943.00 VDD_IN 10091mW/6966mW VDD_CPU_GPU_CV 5038mW/2615mW VDD_SOC 1515mW/1262mW
[INFO] [1726742945.036927, 1710419126.302096]: timestamp 1726742944.00 VDD_IN 9845mW/7326mW VDD_CPU_GPU_CV 4710mW/2877mW VDD_SOC 1515mW/1293mW
[INFO] [1726742946.043071, 1710419127.308729]: timestamp 1726742945.00 VDD_IN 9722mW/7592mW VDD_CPU_GPU_CV 4505mW/3058mW VDD_SOC 1556mW/1322mW
[INFO] [1726742947.051394, 1710419128.323267]: timestamp 1726742947.00 VDD_IN 8820mW/7715mW VDD_CPU_GPU_CV 3768mW/3129mW VDD_SOC 1515mW/1342mW
[INFO] [1726742948.058461, 1710419129.327545]: timestamp 1726742948.00 VDD_IN 8409mW/7778mW VDD_CPU_GPU_CV 3317mW/3146mW VDD_SOC 1513mW/1357mW
